Reporter Identifier	VALUE
1	1.607464e+002
2	-3.009583e-001
3	9.184893e+004
4	-6.169264e+000
5	-2.451430e+000
6	-3.180067e+000
7	-1.200327e+000
8	2.678427e+000
9	2.732673e+000
10	2.190010e+000
11	1.031744e+000
12	-1.730286e+000
13	-1.499686e+000
14	-1.982885e+000
15	-2.022018e+000
16	6.436334e+000
17	-4.247520e+000
18	-3.630284e+000
19	3.437905e+001
20	-3.094098e+000
21	3.295204e+000
22	-3.108387e+000
23	5.055136e-001
24	1.087917e+000
25	3.955276e+000
26	4.485156e+001
27	1.219575e+000
28	-3.885375e+000
29	-1.811495e+000
30	-1.760809e+000
31	3.314743e+002
32	9.095238e+002
33	4.924714e+001
34	2.645297e+003
35	-5.997280e-001
36	4.296267e-001
37	2.239244e+001
38	1.996573e+002
39	-3.605518e+000
40	-2.512669e+000
41	4.480875e+000
42	-1.138511e+000
43	1.478172e+002
44	2.244508e+003
45	3.757508e+002
46	-1.029523e+000
47	-3.698637e+000
48	-2.315985e+000
49	3.863022e+000
50	1.090953e+000
51	1.424424e+000
52	7.980592e-001
53	5.268701e-001
54	2.249023e+000
55	3.328108e+000
56	5.928867e+002
57	4.046962e+000
58	4.300565e+003
59	2.747141e+000
60	1.053922e+000
61	1.680883e+003
62	1.272717e+001
63	1.787512e+001
64	-9.074096e-001
65	5.663700e+000
66	4.856922e+001
67	2.286626e+003
68	3.927713e+000
69	8.146369e-001
70	9.022959e+002
71	2.421912e+002
72	2.079047e+000
73	1.013959e+002
74	2.053583e+002
75	7.909367e+001
76	6.466613e+003
77	-2.079327e+000
78	1.554642e+004
79	1.318760e+001
80	5.218038e+000
81	-7.708111e-001
82	1.405300e+002
83	-2.883908e+000
84	4.473438e+000
85	3.796859e+000
86	2.101488e+001
87	-4.379567e+000
88	3.420307e+001
89	-1.314093e+000
90	-7.480253e-001
91	8.992117e-001
92	1.924487e+001
93	9.905512e+000
94	2.135175e-001
95	-4.483519e+000
96	1.644303e-001
97	2.276587e+002
98	-3.572675e+000
99	2.418469e+001
100	-1.450500e+000
101	1.406593e+002
102	1.422832e+000
103	-3.119191e+000
104	3.074853e+001
105	2.073557e+003
106	-1.106119e+000
107	5.719758e+000
108	6.470217e-001
109	9.924103e+000
110	3.901441e+001
111	1.651269e+002
112	-1.222993e+000
113	1.455934e+002
114	1.614506e+001
115	1.867393e+000
116	-1.766321e+000
117	1.149456e+001
118	2.864605e+000
119	1.567586e+004
120	3.155960e+003
121	-2.872027e+000
122	5.404524e+001
123	-8.624411e-001
124	9.290399e+002
125	1.001800e+001
126	-1.659390e+000
127	3.691957e-001
128	1.101341e+002
129	5.739989e+002
130	1.271523e+001
131	3.754200e+001
132	3.049674e+000
133	-6.188550e-001
134	3.770436e+000
135	5.171997e+000
136	1.600337e+002
137	-1.313077e+000
138	5.667457e+000
139	4.083599e+001
140	2.634888e+000
141	2.355723e-001
142	-2.719678e-001
143	-6.676509e-001
144	1.971861e+001
145	2.535698e-001
146	8.115352e-001
147	9.229475e+000
148	7.435250e+003
149	3.206190e+003
150	7.711973e-001
151	-1.118335e+000
152	2.945593e+003
153	-2.152436e-001
154	3.183416e+000
155	1.330702e+002
156	1.075197e+000
157	4.608381e+000
158	2.222935e+001
159	1.983180e+002
160	-3.903591e+000
161	5.997781e+000
162	5.472286e+000
163	5.872961e+000
164	1.529009e+002
165	1.185026e+000
166	4.727772e+000
167	-4.352850e+000
168	4.228858e+002
169	1.145765e+001
170	4.291072e+001
171	2.989217e+000
172	-7.986713e-001
173	6.856045e+002
174	-3.060391e+000
175	3.499345e+000
176	4.789988e+000
177	-2.602038e+000
178	2.706876e+000
179	7.590107e+003
180	-3.495161e-001
181	-3.111310e+000
182	2.353067e+000
183	6.049223e-001
184	-1.887100e+000
185	-3.000048e+000
186	4.221374e+001
187	-2.200332e+000
188	4.551418e+002
189	4.472235e+000
190	-9.562182e-001
191	-1.767947e+000
192	-3.788521e+000
193	-3.117370e+000
194	1.884271e-001
195	-4.140096e+000
196	-1.005705e+000
197	-2.854530e+000
198	1.361428e+000
199	-2.873672e+000
200	-2.740507e+000
201	8.462237e+000
202	2.941121e+001
203	1.915539e+003
204	5.063071e+000
205	-2.869600e+000
206	-1.774721e+000
207	7.215569e+000
208	2.025589e+001
209	9.926842e+000
210	4.102934e+003
211	-2.367237e+000
212	5.102970e+002
213	1.300944e+001
214	1.379356e+000
215	4.028873e+001
216	-2.496639e+000
217	2.589794e+003
218	-6.483670e-001
219	1.457656e+002
220	3.393827e+001
221	8.812046e+002
222	2.851418e+000
223	8.045399e-001
224	1.505625e+002
225	1.500486e+000
226	2.531234e-001
227	1.645073e+004
228	6.081405e+000
229	-3.067393e-001
230	6.220197e+000
231	9.009419e-002
232	-9.439905e-001
233	1.670707e+001
234	-2.755827e+000
235	1.498503e+000
236	-8.672627e-002
237	-1.924262e+000
238	-6.168440e-001
239	1.741178e+001
240	-3.797422e+000
241	8.329478e+001
242	2.777392e+001
243	5.766637e+000
244	-1.253042e+000
245	1.156470e+001
246	3.413185e+000
247	4.669871e-001
248	-5.257973e+000
249	2.234591e+003
250	-3.643089e-001
251	3.547711e+000
252	1.913723e+000
253	-5.433200e+000
254	8.593472e+001
255	7.445451e+001
256	7.853224e+000
257	1.607971e+000
258	6.837618e+002
259	-3.931671e+000
260	1.979437e+000
261	3.545656e+005
262	2.733558e+003
263	-3.336770e+000
264	-1.303003e+000
265	2.713974e+002
266	2.261627e+000
267	6.731990e+000
268	-2.228952e+000
269	-5.580661e-001
270	6.180890e+001
271	-4.307927e+000
272	2.665950e+001
273	-1.789358e+000
274	-6.000790e+000
275	1.019528e+001
276	1.159180e+000
277	2.483032e+000
278	-1.965741e+000
279	-3.391811e+000
280	3.154582e+003
281	-3.555455e+000
282	-5.379232e+000
283	-2.120584e+000
284	1.523848e+000
285	-1.419656e+000
286	5.309038e+003
287	-1.936246e+000
288	6.065244e+002
289	-4.039537e+000
290	7.737790e+001
291	-3.607319e+000
292	4.296277e+000
293	4.164277e-001
294	1.551649e+001
295	9.049578e-001
296	-7.575607e-001
297	-1.459843e+000
298	7.763362e+001
299	1.616854e+001
300	1.091825e+001
301	3.956817e-001
302	1.802301e+000
303	1.781491e+001
304	-1.486730e-001
305	5.860664e-001
306	3.087788e+003
307	8.689069e+001
308	1.393348e+001
309	8.699954e-001
310	-4.225784e-001
311	3.919500e+000
312	2.111808e+000
313	1.671249e+001
314	1.920667e+002
315	8.466842e+000
316	2.384862e+003
317	3.193637e+001
318	8.748714e+000
319	4.719517e+002
320	5.208556e+000
321	1.573315e+002
322	-2.095472e+000
323	1.403251e+001
324	-1.245523e+000
325	5.016173e-001
326	4.272966e+003
327	-4.222304e-002
328	2.952460e+000
329	-2.478790e+000
330	3.318650e+001
331	2.930040e+000
332	4.227562e-001
333	-4.102434e+000
334	2.303728e+000
335	-3.729420e+000
336	8.481325e+000
337	3.476991e+000
338	-1.441314e+000
339	-2.926080e+000
340	8.933819e-002
341	-2.640508e+000
