Names	total	elements
		KCNV2
		CLIP2
		CLPS
		LOC100216001
		C1orf107
		PPCDC
		BTBD9
		NT5E
		GALNT9
		PARP4
		FAM129B
		NPY
		BEGAIN
		NCK2
		TMEM90A
		HHIPL1
		SDCCAG10
		SNORD115-9
		NOTCH2
		C4orf10
		SLC9A2
		FAM72D
		NEURL3
		KDM6B
		ZNF136
		ZSCAN12
		E2F4
		FAM180B
		MGP
		CLDN10
		ACLY
		DNAJC1
		TRPC1
		TAC1
		SMS
		CHCHD5
		TAF1D
		KIAA0368
		STRN3
		DVL1
		CMKLR1
		FLI1
		OR52A1
		MAB21L2
		TMEM106C
		GPRIN2
		RPL39
		CPA4
		MEGF11
		SDK2
		BAIAP3
		RABGGTB
		MUC20
		SPATS2L
		FAM122B
		ESRRB
		MSTO2P
		YPEL1
		ARHGAP26
		PRCD
		JAGN1
		C13orf27
		ARSK
		DSC1
		RNF43
		ZNF536
		MAP2K4
		ITGB2
		TEKT2
		WSB1
		MIR1182
		PROS1
		HN1
		SDR39U1
		OR2L13
		ELL
		LOC283050
		C5orf32
		CDH11
		SETBP1
		VAT1
		IL1F9
		SHANK3
		KANK4
		EEF2K
		SF3B5
		ZNF713
		THEG
		MFI2
		SGSM3
		DECR2
		SLC37A1
		YJEFN3
		MBL1P
		MUS81
		LOC100128191
		UNKL
		AGBL1
		MALL
		DNASE1L1
		PARK2
		GPR124
		ARHGAP10
		RUVBL2
		ACPL2
		CHPF2
		ALPK1
		ARID1B
		C1orf125
		MCART1
		C21orf2
		EPN1
		MAGI1
		C17orf93
		LAMA3
		GAL
		APOBEC3F
		C6orf170
		TSTD1
		SP4
		SH3GL1
		RALB
		KIF1B
		LOC158376
		GPD1L
		VPS37B
		SPHAR
		PCDHGA4
		ADAMTS17
		MATN4
		APOM
		LOC285593
		SPATA16
		AMPD3
		GLTPD2
		ADCYAP1R1
		MMP1
		C11orf64
		CA12
		LRRFIP1
		CNOT2
		CBX2
		ABI3
		LOC390858
		TWSG1
		UPF1
		LOC100287216
		CTDP1
		ZSWIM4
		WNT16
		SNW1
		TBPL2
		IL18RAP
		TRIM16
		SLIT1
		CDC40
		KRT86
		GUCA2A
		SETD3
		SLAMF6
		DPP6
		GALNT10
		C15orf44
		PRRX2
		LOC648691
		STK39
		ACOX3
		CD109
		RHO
		GRID1
		SMURF2
		UBE2QL1
		SRL
		RPS6KA2
		C20orf112
		TRPV1
		CCDC129
		PES1
		ADAMTS12
		CCDC64B
		C2orf48
		DAAM2
		C16orf78
		CC2D1B
		PLXNA4
		AMTN
		SLC22A5
		GRIN3A
		DEPDC1
		SMOC2
		FAM83A
		ZDHHC17
		ARHGDIB
		NDE1
		PPARD
		KDM4A
		PHAX
		MIR770
		HORMAD2
		MCF2L
		SPEG
		ACSS3
		CLNK
		SCTR
		STK10
		SYNPO2L
		DACT2
		KIAA1045
		PARVG
		GSR
		LOC388796
		CACNA1C
		FAM20B
		FIG4
		IGHMBP2
		FAM73B
		SP7
		PDCD6
		KCNH3
		CCL11
		AP1S3
		CST4
		ASB4
		LMO7
		PAM
		C10orf55
		NUTF2
		OBSL1
		GOLGA7B
		SLC23A1
		SLC12A7
		THAP4
		C12orf49
		GRM3
		BMF
		GPIHBP1
		GLYCAM1
		STARD8
		HTR1A
		SIAH2
		NLGN4X
		FBXO34
		RB1CC1
		POLR3A
		EIF4E
		CSDC2
		EXOC4
		ATP5A1
		ATP5J2
		F2RL2
		HTR4
		CRHR1
		EMB
		AXL
		ATP2C2
		PCDHB14
		CD276
		KRT80
		ANO4
		CSNK1E
		KCNQ4
		PIK3C2B
		GIPC2
		C6orf89
		ANKMY1
		C7orf50
		BBS9
		CEND1
		ENTPD6
		C5orf39
		SLC44A3
		FAM184B
		ERCC4
		HMHA1
		ESAM
		C1orf133
		MIR34A
		LOC100128076
		CTNNA1
		GPR20
		CBX4
		GHITM
		NDUFB7
		BLMH
		DUPD1
		TMEM182
		C17orf49
		KIAA0513
		MIER2
		DHH
		AGRN
		IRX4
		LCLAT1
		NFKBIL1
		ETV3
		PDLIM1
		KCNS2
		CHD7
		SLC30A8
		WDFY3
		CLIC4
		DPM1
		GPSM1
		TLE3
		MESDC1
		SHQ1
		NKX2-3
		TNK1
		RIPK3
		THUMPD3
		OLFM4
		ADHFE1
		SLC6A1
		SH3PXD2B
		PAX6
		T-SP1
		CDON
		MMP14
		NLK
		POU4F3
		C11orf66
		SDF4
		ITGBL1
		NETO1
		BIVM
		THSD7A
		GALR3
		NBEA
		LHX4
		AKT2
		DHRS12
		GALNT6
		MIR1826
		MAP3K15
		SFTA3
		APPL2
		CLASP1
		FMO6P
		FARP2
		EEF1D
		ACOT11
		SOD1
		NCAM2
		AFAP1
		MIR130A
		PRKD2
		BCR
		DZIP1
		TIAM2
		LRFN1
		FAM150A
		OR51B2
		SNX32
		CHD2
		OR4D11
		KLHL38
		TMEM175
		PRC1
		TMEM196
		CREB1
		ERBB2
		HOXC4
		RPS3A
		MYT1L
		C4orf32
		psiTPTE22
		FUT3
		KCNA3
		DBI
		BTBD1
		ABCF1
		ROPN1B
		ZHX2
		GUCY1B2
		ERP27
		DIABLO
		SMARCA4
		RPS6KA4
		LRP8
		GPATCH3
		AGL
		NFE2L3
		TMEM181
		KIAA1377
		EML4
		ENPP7
		SGTA
		OBFC1
		PRPF8
		KIAA1257
		SCT
		TIMM23
		C18orf55
		SKI
		RPL28
		SHISA4
		GLIS3
		CAPN11
		D2HGDH
		DEGS1
		CCDC17
		HM13
		C2orf80
		SNORA1
		DBNDD1
		TBL1XR1
		UBE2O
		KLF5
		DNAJC5B
		GABRP
		LOC728661
		HBE1
		TEKT4
		ROBO4
		FOXI1
		NRG3
		MIR1306
		GPR177
		RPL3
		TCTEX1D4
		ABCC5
		ABL1
		PLEKHG5
		PTPRG
		C14orf93
		ASFMR1
		SRGAP1
		LY6G6F
		CDC42EP5
		LOC100270710
		PLAC1
		C8orf31
		SPATA18
		KLHL18
		CALCR
		MKL2
		MIR620
		ELMO1
		USP33
		C15orf39
		LRRCC1
		UNC13A
		SLC5A10
		TARBP2
		TRIOBP
		SNORD113-6
		MTHFD1L
		RGS22
		PSMD10
		APLN
		NCOA1
		WDR44
		HRH1
		C5orf30
		C16orf11
		RASGRP3
		AMDHD1
		GAL3ST4
		LOC284837
		WDR27
		MCM2
		CD247
		RBMX2
		CDAN1
		KIAA0922
		HIPK4
		C16orf57
		BTBD18
		DCAF13
		HTRA1
		SPTBN2
		IFT88
		MCC
		KLHL31
		C11orf92
		WISP1
		CRAMP1L
		CHST12
		MIR380
		TARDBP
		NME5
		LRSAM1
		APOC2
		VMO1
		ADAR
		FAM50B
		PTPN6
		BAHD1
		PLXNB2
		ARMS2
		ILDR1
		DNAH10
		HBM
		GPR56
		PDE10A
		CCDC85C
		KTI12
		MAP3K4
		TOX2
		NSFL1C
		MED15
		ZBED4
		MTA1
		ZNF720
		CASR
		GPAM
		CANT1
		CDK2
		HCG9
		ESYT2
		C21orf33
		IRF2
		GNG7
		C6orf227
		PGR
		RUNX2
		SOX1
		GRK4
		BRE
		POLR2A
		FGF10
		MBNL3
		SDC3
		NR2F6
		SOX6
		C20orf117
		THRA
		C11orf74
		TBC1D22A
		CAMTA2
		DDX17
		FAM123A
		PLEKHA2
		RSPH10B
		COL4A6
		C19orf35
		SCN7A
		PRAC
		DGKA
		LCE3A
		TSPAN18
		NLRP8
		CBWD2
		STK32B
		RAP2A
		LOC154449
		TACR3
		SLC7A7
		NEURL4
		KIF1A
		RSPRY1
		VCAN
		ZDHHC21
		MED12L
		BRMS1L
		FBXL16
		CNTNAP5
		TAF8
		DDHD1
		RBM41
		ADAM8
		MAN2B2
		HSPA7
		RGS12
		SHPK
		MAFG
		BICD2
		C14orf43
		SNORA10
		MCART2
		CCDC21
		SHANK2
		RAB40C
		ACOXL
		LY6G5B
		RAPGEF5
		LOC340074
		CBX3
		ZCCHC2
		LRRC18
		RBMXL2
		PRDM5
		SUGT1L1
		PDIA6
		PTGFRN
		CASKIN2
		EHD1
		CXorf40B
		ILDR2
		C19orf61
		LRRN4CL
		B3GNT6
		DAGLA
		NEURL
		CHCHD6
		LOC285419
		HCN4
		GRRP1
		C1orf223
		MIR541
		SH2D4B
		MIS12
		UNC5D
		CUL7
		DIO1
		LYPD2
		TBC1D15
		FAM168A
		RASA1
		CHADL
		RARRES1
		NPM3
		ISLR2
		FAT1
		B3GNTL1
		MGAT3
		ARPC5L
		ERMN
		MBP
		KLHL26
		SIM2
		C12orf36
		GABRA5
		CELSR2
		HRC
		SNHG12
		LOC285074
		KIRREL
		PIK3R1
		MAGEA12
		ADCY4
		PTPRJ
		TET1
		ZNF668
		ADCY2
		HOOK1
		RPP21
		GTF2E2
		TCF20
		FAM178B
		MIR199A1
		MRPS6
		ANKRD33B
		PPM1G
		ABCB11
		SLC22A12
		AKAP8
		KCNC2
		LIPK
		SNX8
		SARNP
		CFDP1
		PLEKHF1
		CCDC42
		SAGE1
		TIMM50
		MUSTN1
		TFEB
		KLC2
		HDAC1
		C10orf105
		C20orf199
		FNDC3B
		MASP1
		MYH4
		JAKMIP3
		ASTN1
		WFDC10B
		AIFM3
		BCL6B
		KDM2B
		G6PC
		KRT33A
		DDO
		NEURL1B
		OVOL1
		CPE
		GNB1
		RPL23A
		LOC283314
		HLA-DOB
		C1orf170
		SEPT11
		RFFL
		MBOAT7
		CALD1
		SCRT1
		AIG1
		ERICH1
		ST6GAL1
		POMC
		UNC84B
		TMED6
		RPL31
		MKX
		HAUS7
		ZNF814
		KDELR2
		NLRP12
		LRRC27
		PIGU
		CNNM3
		PKP3
		ZBTB7B
		MRPL23
		ABCC13
		SFMBT1
		IL28RA
		TSSK6
		COL24A1
		HIBADH
		GAK
		CSDAP1
		SFT2D2
		HSF5
		C12orf23
		CRTC1
		C20orf43
		LY6D
		ALB
		ARHGAP24
		UPF2
		C4BPA
		CPT1A
		KIF22
		TMEM132D
		SUCLG2
		JMJD7-PLA2G4B
		COL11A1
		ZNF703
		MYL6B
		EFCAB8
		SNORD114-22
		AMPD2
		ACTN1
		PCDHB19P
		HLA-C
		PLA2G12A
		SPRED2
		SLIT2
		PITPNC1
		MKS1
		MGC16142
		CX3CR1
		PDE1B
		COL29A1
		MIR921
		NCOA7
		KCTD3
		ANKRD18A
		MON1A
		LOC348840
		SLC30A3
		C6orf94
		PIK3R6
		ZSWIM3
		MDS2
		FUT2
		GDF7
		PYCR2
		GALNS
		LOC100130872-SPON2
		GEFT
		DNAJB14
		FAM20C
		CASP4
		WRB
		WIT1
		ABCC8
		EXOC3L
		MAP1S
		LOC254312
		ATPBD4
		SLC45A1
		XKR4
		RESP18
		TTC33
		LPPR5
		STMN2
		MCPH1
		KRT79
		C9orf3
		KIAA1432
		ROR1
		MYO1D
		SYNM
		PTDSS2
		UGT8
		SAMD4B
		FAM59B
		SFXN5
		GLP2R
		DYNLT3
		MAP2K3
		FLT4
		C20orf96
		ADAMTSL1
		TMEM30C
		PRCC
		CHPF
		AP2A2
		TMEM215
		ZBTB46
		ANKRD43
		ZNF214
		TMEM88B
		DDX56
		NTN3
		PAX5
		AOX1
		CYR61
		DTNA
		C1orf86
		SERPINA5
		TMOD3
		AKT3
		CRB1
		KLK3
		UBR4
		LTBP3
		PASK
		FLJ43663
		LAPTM4B
		NCRNA00181
		ITGB5
		BAIAP2
		DIO3OS
		NR1D1
		CELA2A
		KCNS3
		ARID1A
		ARFGAP1
		SHMT2
		MLYCD
		AP1S1
		ANKRD58
		COL12A1
		ALPL
		TMEM206
		SMAD6
		GPR123
		SAT1
		ZNF251
		ADAMTS7
		RCBTB2
		MAST3
		RHBDD1
		RBMS1
		ZNF445
		NRXN2
		MGC23284
		RYBP
		TTC26
		FAM171A2
		MAEA
		HYAL1
		KLRB1
		CPSF2
		PSD3
		NLRC3
		HDLBP
		C15orf61
		MLLT4
		ACY3
		HECW1
		DUSP8
		ACTR2
		HOPX
		SENP5
		FAM174B
		SOAT2
		CBFA2T3
		OR10AD1
		LOC399959
		LZTS2
		AFF3
		DARS2
		KLF3
		SNORA60
		XRCC2
		BAIAP2L1
		SLC44A4
		CASS4
		C17orf103
		USP29
		ERGIC1
		RPTOR
		ARHGEF10L
		ADAM30
		ACTR3
		KIF26B
		DNASE1
		ZNF225
		ZAP70
		PTN
		LPP
		DFFB
		DMRT1
		RAB9P1
		TNIK
		GNG8
		SLC22A18AS
		RYK
		HSPB6
		MACF1
		MPPED2
		CHRNE
		WNK2
		HSPB8
		LILRA4
		PRDM14
		OR51V1
		ATP6V0D1
		RLBP1
		GAL3ST3
		APOBEC3D
		AXIN1
		ARVCF
		TRIO
		ATXN7L1
		ZNF385D
		ID3
		KIF7
		MMP13
		POU4F2
		ZNF473
		IQCK
		RTP3
		MGC87042
		SLC25A37
		OR10G9
		AP1G1
		HCP5
		AMBRA1
		CPSF4L
		KCNE1
		FHL3
		POLG2
		NRM
		MTCP1NB
		DSP
		MMRN2
		NDST1
		PTPRE
		AGAP5
		ZSCAN5A
		UNC5B
		SDHB
		CLRN1
		FAM66D
		SH3RF3
		C19orf53
		ZFP106
		FKBP7
		CHSY1
		ARHGAP17
		KCNIP3
		AGAP11
		TRPM8
		TTF2
		KCNT1
		NGRN
		CDK15
		RGS16
		URB1
		RTL1
		ABL2
		ACVRL1
		GPR137B
		MECP2
		PSMA1
		TOP3B
		MAP3K5
		NCRNA00169
		PDLIM7
		RAB7L1
		MSL3
		BMPR1A
		HLA-H
		PRL
		YBX2
		RFWD2
		ACACA
		ABCG1
		MAML2
		C4orf31
		SP6
		CCR9
		DSCAML1
		ARHGEF12
		FLJ32810
		SCOC
		SLC18A3
		SYNGR3
		C6orf103
		NUP93
		SMAD3
		TBX5
		C14orf182
		APCDD1L
		SHISA3
		HMOX2
		PTGDR
		ZBTB22
		HTR2C
		NEDD4
		NEK4
		RBM33
		CACNA1E
		MIR377
		MIR19A
		OTOR
		DRD5
		ZBTB38
		UBE2I
		C14orf28
		MINK1
		ATP11A
		PLEKHB1
		MRPL33
		MYO1C
		ACRC
		FLJ10357
		SYT5
		PON1
		CNKSR3
		SPRN
		ARPM1
		SLC15A4
		PRTFDC1
		CYP21A2
		RPL12
		RASAL1
		ZC3H3
		DDAH1
		MGAT1
		TIPARP
		SAMD13
		SCRN2
		DHRS7C
		EXD2
		TRIM72
		SKP2
		FZD2
		C8orf4
		PCDHB8
		PHC3
		LOC643955
		RPL13AP20
		PKLR
		FAM102B
		PCDHB17
		UBLCP1
		LOC646999
		ZPBP2
		SLCO3A1
		DUSP2
		HMGN3
		GABRR2
		SUPT5H
		PAX9
		NEFM
		C1QTNF5
		TNNC2
		C11orf34
		BCL9
		SYN1
		RAB14
		ABO
		TRAF3
		LETM1
		COMMD7
		C9orf171
		SND1
		NIPSNAP1
		CHD3
		BCAP31
		MED8
		CLDN22
		CHD6
		HMCN1
		ESYT3
		FGD4
		LY86
		GDI1
		ZNF81
		ZMYND8
		VSNL1
		GATAD2A
		PIH1D1
		KRTAP5-9
		EFTUD2
		TAP1
		ETS2
		N4BP2
		IFFO2
		IGFBP7
		ZNF609
		PRMT2
		PRDX1
		EHMT2
		ECE2
		CCDC102A
		ITGA1
		WTIP
		FAM24B
		ERMP1
		FOLR1
		FREQ
		SFRS13A
		TSGA10
		TMCC2
		TCF12
		HACE1
		PACS2
		POU4F1
		UNC84A
		C3orf20
		SGIP1
		ATG4B
		PLEKHG2
		MAL
		GALR1
		MERTK
		FBRSL1
		GRIN2C
		CORO2B
		TBXA2R
		PCDHB11
		TECR
		RNF144A
		CBR4
		KIFC1
		SLC7A14
		LHX5
		ITGA8
		TP73
		SMCR5
		DSC2
		NDUFB4
		GRIK4
		RBMS2
		SERPINA1
		ANTXR2
		PUS1
		SLC6A18
		MYO10
		SMYD5
		CRHR2
		OLFM1
		TAPBP
		ENAH
		C14orf138
		LIPH
		RCC2
		DKFZp434J0226
		AHCY
		MAMSTR
		DBF4
		THSD1
		ESRRG
		PPTC7
		OTX1
		GLP1R
		SNX31
		GRHL2
		IREB2
		CCDC48
		PDCD7
		MIR124-2
		ZIC4
		LRRC43
		PROKR1
		PCDHA2
		SSR3
		MFRP
		NR2E1
		ITGB7
		LOC148824
		CCDC81
		SLC32A1
		ASAP3
		CDH17
		NLRP13
		CD180
		C22orf25
		LYRM5
		LTBP2
		FNDC7
		ERN2
		ARPC5
		PKD1L2
		SYNGR2
		PDE9A
		PITPNA
		NDUFS2
		PGLYRP2
		STUB1
		INS-IGF2
		LOC285045
		LEF1
		SLC22A8
		CTPS
		EPS8L1
		DYNLL2
		C15orf33
		PLA1A
		RNF113A
		C20orf114
		SATB2
		ANXA6
		HIST2H2AA4
		KCNJ9
		CDADC1
		KIAA1217
		ABTB2
		AP2A1
		SLC25A13
		TH
		TMEM132C
		ANKS1B
		MFSD2A
		ZC3H12A
		MIR449B
		PPHLN1
		RAPGEF1
		C2CD4B
		FA2H
		DLG4
		ALG13
		NCCRP1
		MIR1286
		KLHDC8B
		CDGAP
		MUPCDH
		DDX26B
		C10orf72
		WWC1
		FRMD6
		MYH3
		GPKOW
		SULT1A1
		AKR7A2
		MAP2K2
		SLC1A2
		PDGFB
		RFX1
		ANO2
		ABCC3
		NAA50
		CARS2
		KIF21A
		CLUL1
		LZTS1
		ARHGEF3
		C9orf95
		CPN1
		CSNK1G2
		HLA-A
		KIAA1244
		MAML3
		MGC72080
		EGLN1
		RWDD3
		MAN1C1
		C8orf55
		HSPA6
		SILV
		RCVRN
		C10orf140
		SHANK1
		NR1H2
		UBXN10
		PHC2
		C3orf17
		DBX1
		STAT3
		PPP2R5C
		SYNJ2
		TPCN2
		TRIM26
		ROBO1
		ATN1
		MPZL1
		ZNF578
		IL34
		TSSK3
		RUVBL1
		MAD1L1
		LOC283174
		MYH11
		DPYSL5
		INPP1
		TNK2
		MCCD1
		ANKRD11
		PTCHD2
		ITPR1
		EBF3
		NPAS4
		SEZ6L2
		SEPT9
		GUCY2D
		BCAR1
		NDUFB5
		TRIM27
		CDC42EP2
		PLD5
		SLC45A2
		SIPA1L1
		FBXO5
		DPYS
		MRC2
		C1orf52
		GSDMC
		SFMBT2
		CDC42
		TTLL2
		UACA
		EBF1
		NCRNA00085
		RRS1
		TNKS
		SNX2
		ABI3BP
		CLEC18B
		PRR15L
		NKX6-3
		CDK5R2
		ZNF497
		MYO18A
		ZBTB7A
		TAS2R1
		SEMA7A
		PCID2
		KLF12
		GTF2H4
		ARHGEF18
		KCNK1
		ARRB1
		TINAG
		SCAMP5
		HOXA11AS
		NEUROD1
		ADAMTS20
		WBSCR17
		POLR3E
		WDR60
		CAMP
		GABRA2
		GRHL3
		ADAMTSL2
		FAM190B
		SFN
		MDM1
		OVOL2
		RBL2
		CD9
		MS4A15
		PPP1R10
		CCNJL
		LACE1
		CAMK1G
		CENPN
		TMEM106A
		TTC15
		RUNDC2C
		ZNF630
		MIR128-1
		UGT1A6
		C2orf76
		KIAA1274
		DOK6
		LHFPL4
		DKFZp686O24166
		OSGEPL1
		DFNB31
		TMEM129
		ACPP
		EEF1B2
		SGMS1
		GNL1
		CCDC40
		ZNRF2
		ASB16
		PER3
		ADCY8
		PPP1R12C
		GRAMD4
		TTC7A
		UBD
		RPL6
		DNAJB6
		TMEM40
		ZNF787
		GABRR3
		PRKAG2
		C2orf58
		KEAP1
		MST1
		OMA1
		MED16
		ABLIM2
		GNB2
		C6orf154
		CCDC30
		ZBTB39
		TMEM63B
		SHC3
		S100A8
		MTUS1
		KDELR3
		SRP19
		RNF5
		MFSD1
		KLHL25
		PLEKHF2
		HOXD1
		POLQ
		LOC494141
		FFAR1
		C17orf82
		MAP4K5
		LASP1
		ACHE
		KPNA5
		OR2T11
		MYO7B
		PTF1A
		WDFY1
		HCG4P6
		ZNF267
		CDC45L
		FBXL19
		OSGIN2
		ATG9B
		POPDC2
		ZSCAN1
		ADCY10
		MIR187
		C1orf113
		KLK15
		RAB17
		FGF14
		BRD1
		PRICKLE2
		LOC100303728
		C3orf27
		LOC100287834
		MCCC2
		MIR758
		CPT2
		SUGT1P1
		POLR2D
		EPOR
		MVP
		SUV420H2
		CLDN19
		CCDC142
		RNF165
		DHRS9
		FXR1
		ZCCHC14
		LOC732275
		ZP3
		NUP210
		RAB11B
		FAM120C
		SCLY
		CACNA2D3
		ZNF831
		TPRA1
		CCRL2
		YWHAB
		LYPD6
		RNF213
		DHX9
		PDIA5
		SUCLG1
		CXCR5
		OR51I1
		CLK1
		C16orf74
		THAP2
		C21orf54
		PRKCE
		ITGAM
		CCDC149
		SRCIN1
		SH3RF2
		NEK11
		MST1R
		KIAA1737
		CPA1
		COL3A1
		FOXP4
		PPT2
		GLIS1
		PRDM11
		PHRF1
		RPL26
		MIR589
		C8orf85
		CACNA1D
		C1QTNF4
		SGPP2
		SIGIRR
		BTBD3
		PRDM8
		FOSL2
		OPLAH
		ACSS1
		FBXO21
		KREMEN2
		CCDC154
		SEPT4
		GRB10
		RHPN1
		SFRS2
		CLSTN1
		EPHA3
		TMEM150C
		PCDHB7
		STXBP2
		ZNF155
		SEMA5B
		SERGEF
		KIF26A
		TSPAN15
		TMEM155
		SKAP1
		LEAP2
		TMEM51
		PILRB
		CC2D2A
		MIR487B
		ZNF580
		CMTM2
		FITM1
		GPR179
		PCDH1
		VWDE
		TRIM67
		WDR46
		LSP1
		CD59
		CDK9
		KLHL33
		C14orf179
		KIAA0247
		ARHGAP18
		PTGDS
		PSAP
		LOC285780
		C3orf63
		CCDC140
		MYOM2
		FLJ39653
		LRRC55
		RANBP3L
		BST2
		STX1A
		CYP26C1
		POMP
		INPP4B
		IGSF10
		TMPRSS9
		HGD
		BMPR2
		ALLC
		MYO3A
		LOC285768
		NME2
		C14orf73
		LOC144742
		TIMM9
		FRMD8
		SNORD113-7
		FAM198B
		USP31
		PPAN-P2RY11
		NOP56
		HIVEP2
		CNIH2
		BMS1P4
		TATDN2
		GRIK1
		SNX27
		FRMD1
		ICAM4
		SYT6
		FPGS
		ANAPC2
		LYG2
		NOD1
		ID4
		SOX5
		NUBP1
		C11orf40
		OTX2
		DSCAM
		C12orf72
		IL12RB2
		RIN3
		NFIX
		CLEC14A
		HIBCH
		UBL3
		DIP2B
		HELT
		PIGA
		ZNF238
		IL17REL
		RREB1
		CT62
		UBE2C
		DNMBP
		LPHN1
		FHOD1
		KRTAP3-1
		DHPS
		ZSCAN2
		TFDP1
		TOX4
		NODAL
		HCCS
		DENND1B
		TUBGCP2
		RPS15A
		SPNS2
		ZNF876P
		MIR200A
		IRF2BP1
		FAM173B
		CD79A
		SAMD14
		PIK3CA
		HCN2
		COLEC10
		OR10G8
		CKLF
		HTT
		DAB2IP
		PLEKHN1
		SLC6A5
		SDK1
		CYP2C18
		ATAD3C
		SDC1
		ATP6V1H
		GSX1
		CALHM3
		GGT7
		FUT9
		ACSM1
		PSAT1
		ZNF766
		KIFC2
		PNPLA5
		TBC1D1
		FIGNL1
		C16orf82
		EMD
		TRIM75
		ENTPD4
		BRP44L
		CYP27A1
		TMCO4
		ZNF300
		WDR35
		CCDC80
		BAZ2A
		CAMK2A
		SMC1B
		KCNQ2
		TMEM190
		LEMD1
		HTATIP2
		PEX3
		PAMR1
		FXYD7
		CCDC33
		PABPC4
		EPHA6
		SLC43A1
		NTN1
		FAM109B
		CCDC105
		LOC100190938
		FBXL21
		AP3M1
		TRAF4
		CORO1A
		RRM2
		OR2B11
		OS9
		C19orf12
		C15orf57
		HNRNPAB
		CX3CL1
		SLC20A1
		ARAP2
		GPR50
		NR5A2
		IGF1R
		WDR72
		SPTB
		MIR124-3
		PURG
		A1BG
		PKD1L1
		NMNAT3
		DGAT2
		TSNARE1
		ATRIP
		ABHD3
		HELLS
		DNAH9
		FANCI
		NAV1
		IQSEC1
		PATZ1
		AEBP1
		GALNTL1
		C20orf26
		C20orf123
		THNSL1
		OR9Q1
		SHROOM3
		CCL28
		IRX2
		JAM2
		FIGNL2
		CBWD3
		TRIM38
		MSI2
		FAM188B
		SPARCL1
		PCDHB16
		C6orf153
		ANK1
		ASNS
		PPM1L
		NHLRC4
		GJD2
		CASZ1
		TMEM177
		LRRC37A3
		TEC
		PSMB5
		NCRNA00087
		C1D
		ABCB4
		EPM2A
		C6orf10
		EXD3
		CARTPT
		HNF4A
		CNTNAP2
		TNFRSF10B
		PPAP2B
		CHD4
		GABRR1
		C6orf26
		PAX8
		HIF1A
		C1orf150
		DBN1
		TRIM71
		TMED7-TICAM2
		QTRTD1
		PKMYT1
		WNK3
		FEZF2
		DUT
		SLC26A9
		OTUD5
		KHSRP
		LYL1
		EDEM1
		LOC100292680
		NOS3
		TNFRSF11A
		LOC401387
		FBL
		CBLN4
		KCNIP4
		FAM43A
		CFTR
		CAMK1D
		VSX1
		LOXL3
		KCNA5
		FLRT2
		DYNC1I1
		SLFNL1
		NFATC2
		C9orf125
		TNRC6C
		PKN1
		RHBDF2
		MED9
		REXO1L1
		NKX2-4
		EFCAB6
		AFMID
		ACSF3
		FBXW11
		TMEM201
		AKT1S1
		SLC12A5
		MLLT10
		BPHL
		ERCC6
		NOS1AP
		FAM3A
		RPL13
		BAZ1A
		PRMT3
		TRIM10
		PTPRO
		CXorf36
		ZFAND3
		COL17A1
		TCERG1L
		ZDHHC14
		CDC16
		C1orf189
		ACTB
		KIF24
		MSRA
		DMAP1
		FAM83F
		SYNPR
		PRSS16
		KIF13B
		WFIKKN2
		RAB12
		MKRN3
		ADAMTS13
		ACVR2B
		ZNF185
		SFRS7
		CYB5RL
		SUFU
		SNORD114-20
		SOCS2
		GLB1L3
		HIST4H4
		GBP3
		WDR5
		RARG
		RANBP10
		CECR6
		C9orf24
		KRTAP13-3
		DOCK5
		DENND1C
		RBMS3
		TIMM44
		PSMD1
		UBA5
		SFTPA2
		MOS
		ILVBL
		CD1E
		MOBKL2C
		NOL9
		RLTPR
		RNF219
		CD320
		NHSL1
		MIR663
		GNRHR2
		FGFBP2
		SMG6
		LOC84931
		GLRB
		HLA-DMA
		ITGA11
		PHF13
		DEFA6
		WWTR1
		RNF212
		GAS7
		TTC23L
		SNORD17
		MBD3
		MDN1
		PGC
		FGF3
		CIT
		SLC35A3
		AMOTL1
		CLEC16A
		C1orf89
		SLC38A1
		NFKBIE
		ST3GAL3
		HLA-B
		PCDHA1
		ARHGEF17
		C19orf60
		SRD5A1P1
		GPD2
		C8orf56
		HOXB9
		SETD7
		SCUBE2
		FAM190A
		ACSL6
		FLOT1
		RADIL
		CANX
		GPER
		DAP
		ZMIZ1
		ENPP6
		AKT1
		TTC23
		CDC34
		MCM6
		TMEM150A
		SHROOM2
		RPGR
		ZC3H10
		RRM2B
		COL6A3
		CLDN8
		STARD9
		VPS52
		LOC440839
		CRTAC1
		C18orf1
		HSD17B12
		CDNF
		ZFHX3
		HEMK1
		AURKC
		FAM115A
		FZD6
		PITX3
		NCRNA00188
		POLR2C
		CUX1
		PON2
		C19orf76
		GRM4
		TBCK
		PLB1
		HRNBP3
		CKAP5
		CPSF4
		MLXIPL
		C10orf18
		WDR86
		AIM2
		ANK3
		ZBTB44
		TIMP2
		ZMAT4
		SHC4
		VOPP1
		CCDC22
		FCRLA
		ARRDC1
		MIR298
		STC2
		HIST2H2BF
		ANKRD34A
		SAMD9
		KITLG
		OR14C36
		SV2C
		ZNF490
		ARID4B
		RNF19A
		CACNA2D4
		GMDS
		CBX5
		COL5A1
		MIR302D
		WDR52
		IL20RB
		ZNF592
		PPFIA4
		CNIH3
		PLEKHM2
		ALS2CR12
		THSD4
		DLAT
		CDC5L
		KCNJ5
		TBCD
		EFCAB1
		CASQ2
		LOC116437
		SEPHS2
		PYGM
		C10orf82
		LOC285205
		TPSD1
		PRAME
		FOXO3
