Names	total	elements
		SNTB2
		LAMC1
		KRTAP1-1
		ANGPT1
		PHLDB1
		PHACTR4
		P2RY13
		KDR
		PML
		ITGB1BP1
		PDE2A
		DAB2
		PLXNA2
		MGLL
		LONRF3
		S100A4
		RPS20
		RARRES2
		EPB41L2
		CDH9
		CYTL1
		SORBS1
		CACNA1A
		LIMCH1
		FAIM2
		R3HCC1
		MSX1
		HK2
		EPHX1
		LHX6
		TPO
		GTDC1
		CD81
		AP3D1
		GLYAT
		ZEB2
		METTL7A
		NEUROD4
		COX7A1
		PCCA
		AQP5
		IL16
		MAP1B
		AKAP5
		LPAR6
		PLEKHA8
		KLC1
		MEST
		ADH1B
		PLD3
		PNLIPRP1
		ABLIM3
		LAMA4
		SYNPO
		MYOZ1
		HSPG2
		ABHD6
		OLFML1
		PRKCA
		TRIM8
		ANXA11
		PNPLA2
		VPS13B
		IL11RA
		ADIPOQ
rna_seq transcription	15	VGLL3
		TRHDE
		CAVIN2
		TMEM47
		BNIP3P1
		G0S2
		HOXA7
		CST3
		LHFPL6
		TENM3
		DEPP1
		SPRR2D
		ARL10
		AVPI1
		CSF2
methylation rna_seq	36	EFNB1
		C12orf75
		IRS1
		GLIS2
		GJB5
		PI15
		SOX15
		OGFRL1
		KRT16
		IFNAR2
		CHST3
		HBEGF
		GALNT5
		ARL4C
		GPRC5A
		TSPAN5
		KRT14
		KRT6B
		TRNP1
		PINX1
		FOSL1
		TNF
		FOXC2
		TCEAL7
		ELK3
		CDA
		GJA1
		GNA15
		CCDC8
		MMP28
		PRSS12
		MT1L
		OSR1
		TSHZ3
		APOBEC3C
		IGFBP4
transcription	947	PNMA1
		BTG2
		ECHS1
		ABCC6
		DECR1
		NAGPA
		CFHR5
		ESYT1
		EPB41L4B
		RGN
		ERG
		FAT4
		TOB2
		PIR
		TCP10L3
		LEP
		DMC1
		ECH1
		STX8
		HIGD1B
		ROCK2
		AP1S2
		ALDOC
		CIAO1
		WDR45
		CAVIN3
		SMUG1
		FBXO11
		EMC1
		HTR7P1
		EIF1
		GDF10
		COQ9
		GAS2L1
		PMM1
		BCHE
		MYO15B
		PLCL2
		ID1
		TF
		CLCN4
		NPR1
		ASS1
		GSTM4
		SAMM50
		NUCB1
		RASIP1
		PPBP
		SDC2
		CACNB1
		SETMAR
		QKI
		EML3
		ACADL
		SLC22A14
		FUT4
		PSG3
		LSP1P4
		NQO2
		SELENOP
		CCR3
		CDHR5
		OR7E36P
		ASAH1
		FHL1
		ACO2
		PALM2AKAP2
		NMNAT2
		KLF4
		JADE1
		MT1G
		PLSCR4
		RTEL1
		RDX
		OMD
		ITSN1
		AMELX
		C5
		KLF2
		PGM1
		DNAJB4
		PECR
		THPO
		C1orf115
		METTL5
		ISCU
		HBP1
		HAUS4
		HCAR2
		TCTA
		NRAP
		HOXA5
		GABRE
		SNTA1
		GCM1
		SLC16A2
		CD93
		RRAGC
		GPX4
		RTL8C
		CCDC85B
		PPDPF
		ECHDC3
		PPIEL
		SLC48A1
		HBQ1
		CDK16
		FBXL5
		NDUFAF1
		PTPN4
		FOLR2
		GIMAP1-GIMAP5
		MAS1
		PARVB
		GIMAP6
		LIPT1
		MME
		MAN2C1
		PHYH
		SOCS3
		POU3F2
		RPLP2
		IL1RAPL1
		THEMIS2
		PCYT1B
		MBD2
		ALAS1
		MAPK1IP1L
		CCDC28A
		TESK1
		FSD1
		ZC3H14
		CRTAP
		ZNF75D
		TK2
		BLVRB
		ZFYVE9
		LINC01140
		SLCO1C1
		SYN2
		ADGRF5
		TRBV5-2
		FSHB
		ANXA2
		AK1
		SSX3
		RHOQP1
		PPP1R15A
		CITED2
		FNDC4
		ABHD5
		TMBIM1
		MRAS
		OGN
		RBM12B-AS1
		SLC12A3
		NTRK2
		PFKFB2
		SH3TC2
		TSKU
		MSRB2
		FXYD5
		RNF146
		FZD5
		STAB1
		LRRTM2
		TGFBRAP1
		PALMD
		TMEM43
		AKAP3
		ADGRG2
		SCARA3
		MYOC
		TNFRSF21
		DIO2
		MOBP
		NTSR2
		ZBBX
		PDZD2
		CETP
		ADIRF
		HBB
		SPATA6L
		SRPX
		E2F2
		MAPK11
		FILIP1L
		EMC6
		NAB1
		ASIC4
		GAS1
		SLC35G2
		MED31
		TMEM243
		TP53TG1
		CA8
		CDC42EP4
		SLC1A3
		SFTPC
		HAO2
		SAA4
		LPL
		SLC2A4RG
		KIZ
		PLPP1
		CD84
		SH3BP1
		FAXDC2
		TAF1C
		FRMPD1
		DMD
		HILPDA
		GPX1P1
		NOVA1
		HADHA
		ZNRD2
		FOSB
		CAV2
		TMEM135
		ARHGAP35
		ATP2B3
		ALAS2
		SH3GL2
		IGFBP3
		DEXI
		CKMT2
		CYB5A
		TIMP4
		SERPINB3
		STAB2
		PCOLCE2
		NFU1
		SLC25A23
		FLII
		SLC4A4
		TWIST1
		PEBP1
		MAFF
		SUCLG2P2
		RNASE4
		PARD6B
		CYP4B1
		UQCRC2
		ACKR3
		GBX1
		MEF2C
		PTGER3
		TBC1D19
		KANK1
		TSPAN32
		EIF4EBP2
		CHST8
		ACTN3
		ELP4
		NMB
		CXCL14
		POLR2L
		MRPL4
		CHRDL1
		MNAT1
		RENBP
		C8A
		ECHDC1
		PELP1
		RNF41
		TSPAN3
		MSN
		PHKG2
		DIAPH2
		CRYZL1
		FCGR2B
		RXRA
		NFATC4
		TIMP3
		CIB2
		MAPKAPK5-AS1
		GLUD2
		PLN
		SSX2
		SLC16A7
		PGRMC2
		FYCO1
		PLTP
		MUC3A
		TBC1D5
		FABP5P2
		PELO
		ZNF154
		FAS
		SOD3
		VWA8
		ALDH4A1
		CRYAB
		RTN3
		PART1
		PSMB6
		HSD17B11
		SH3GLB1
		GRK3
		ZIM2
		APBB1
		TEX261
		WHAMMP2
		CS
		ZNF318
		SCN4A
		ARHGAP33
		BCL2L2
		CIBAR1
		ADGRL2
		EMC3
		TMPRSS6
		MID1
		SNX10
		TMEM230
		MYO16
		EGR1
		RDH5
		CNR1
		TRAT1
		CC2D1A
		PLAGL1
		FTL
		THBD
		SRR
		KMT5AP1
		MRPS18A
		ASPH
		TM7SF2
		OXCT1
		ILK
		BHMT2
		TBC1D2B
		SPON1
		PAGE4
		PLA2G4A
		ARPP19
		VLDLR
		DBT
		CGGBP1
		INVS
		RHAG
		SCD
		GPR176
		CPM
		STX7
		CIDEA
		MTARC1
		GRHPR
		LINC00667
		IFNA5
		TNFSF18
		KLHL4
		PCGF2
		KCNJ10
		ANG
		GABPB1-IT1
		NMT2
		SCARB1
		S100A1
		SUN2
		MT1X
		PLK4
		BCL2L13
		BPY2
		KAT2A
		WASF3
		DYNC2H1
		AIF1
		GTF3C2
		CSH1
		F8
		MIEF1
		SERPIND1
		TXNIP
		SHMT1
		NUDT3
		RSPH6A
		SRSF4
