Reporter Identifier	VALUE
1	7.136896e+002
2	3.209355e+000
3	3.193200e+004
4	-4.494514e+000
5	2.818852e+000
6	-1.293965e+000
7	-2.582377e+000
8	1.971038e+000
9	-2.612654e-001
10	9.951042e-001
11	3.022010e+000
12	-2.651608e+000
13	-1.879110e+000
14	6.384303e-001
15	-4.098864e+000
16	6.793761e+000
17	-2.716479e+000
18	-2.280498e+000
19	1.612395e+001
20	-4.716114e+000
21	-3.033964e+000
22	2.574334e+000
23	-2.515537e-001
24	-1.000808e+000
25	3.014667e+000
26	9.750442e-001
27	-1.736943e+000
28	-5.008172e+000
29	-9.523390e-001
30	-8.717100e-001
31	3.193890e+001
32	4.775090e+002
33	2.003490e+001
34	1.464841e+003
35	-5.360537e+000
36	-1.739495e-001
37	1.725087e+000
38	3.719344e+000
39	-1.344769e+000
40	-3.280380e+000
41	-2.720513e+000
42	2.963038e+000
43	1.106052e+002
44	8.118654e+002
45	7.788353e+001
46	3.659741e+000
47	-5.550863e+000
48	-7.598834e-002
49	3.068553e+000
50	7.241920e-001
51	-2.845639e-001
52	1.882682e+000
53	-4.127371e-001
54	-4.505534e-001
55	2.344766e+000
56	1.858912e+002
57	6.717206e+000
58	9.411718e+003
59	-1.067230e+000
60	-4.074842e+000
61	1.418291e+003
62	1.557471e+001
63	5.024735e+000
64	-4.854694e+000
65	-2.254998e+000
66	2.112258e+000
67	9.445609e+002
68	1.179832e+000
69	1.401298e+000
70	7.373323e+002
71	1.274358e+002
72	3.225939e+000
73	1.100690e+003
74	1.754994e+002
75	2.217537e+003
76	3.047925e+003
77	7.926998e-001
78	1.018575e+004
79	9.473575e+000
80	4.103099e+000
81	3.156488e+000
82	6.878694e+002
83	-2.838276e-001
84	4.461638e+000
85	1.183214e+001
86	1.378240e+001
87	-2.118108e+000
88	2.969179e+001
89	1.023481e+000
90	5.599867e+000
91	5.679689e-002
92	1.884569e+001
93	1.339311e+001
94	2.935584e+000
95	-2.846402e+000
96	3.640694e-001
97	2.649490e+001
98	2.682532e+000
99	1.343137e+001
100	-3.060470e+000
101	1.196327e+002
102	4.965975e+000
103	-5.204465e+000
104	3.838976e+000
105	1.398483e+003
106	-4.811756e+000
107	2.228051e+000
108	9.098141e-001
109	6.693006e+000
110	5.226344e-001
111	1.776625e+002
112	6.872675e-001
113	1.490714e+002
114	2.675737e+001
115	1.653972e+000
116	-6.174328e+000
117	9.132615e+000
118	1.250287e+000
119	1.182702e+004
120	1.536424e+003
121	-6.577784e+000
122	7.997655e+001
123	-2.790473e+000
124	1.015213e+003
125	-3.816395e+000
126	-4.223690e+000
127	7.311511e-001
128	7.868460e+000
129	8.156889e+001
130	4.080620e+000
131	5.091818e+001
132	5.653338e+000
133	-4.492914e+000
134	1.527598e+001
135	-4.180561e+000
136	4.048994e+001
137	-4.179582e+000
138	6.986213e+000
139	5.867223e+000
140	-7.072482e-001
141	-7.789008e-001
142	-1.956254e+000
143	-2.336600e+000
144	2.389892e+001
145	-2.454406e-001
146	4.389791e-001
147	-3.442136e+000
148	3.051234e+002
149	6.514435e+003
150	2.823932e-001
151	2.129734e+000
152	2.339311e+001
153	7.675308e+000
154	1.031984e+000
155	1.507021e+002
156	5.959369e-001
157	2.330131e+000
158	2.095668e+001
159	1.070637e+002
160	-4.675503e+000
161	4.446347e+000
162	6.226080e+000
163	6.063730e+000
164	6.972586e+002
165	7.320080e+000
166	4.210078e+000
167	-2.452977e+000
168	2.073106e+002
169	5.704356e+000
170	7.860334e+000
171	6.194404e+000
172	-3.500070e+000
173	6.589148e+002
174	6.695439e+000
175	6.374932e+000
176	-1.381392e+000
177	-1.772033e+000
178	1.100065e+000
179	5.400090e+003
180	-3.047446e+000
181	-3.161911e+000
182	3.905900e+000
183	-2.608141e+000
184	-2.834478e+000
185	-2.460219e+000
186	1.612521e+001
187	-2.673118e+000
188	5.664410e+001
189	1.735986e+000
190	2.180955e+000
191	9.223086e-001
192	-6.548935e+000
193	-3.993996e+000
194	-7.344173e-001
195	-2.224707e+000
196	9.508940e-002
197	2.207366e+000
198	3.728291e+001
199	-4.367219e+000
200	-3.393553e+000
201	5.209318e+000
202	5.878062e+000
203	7.936759e+001
204	-1.335828e+000
205	-6.723509e+000
206	-2.236535e+000
207	5.951796e-001
208	2.577397e+000
209	8.962596e+000
210	1.433495e+003
211	-3.078408e+000
212	4.963564e+002
213	-2.015886e+000
214	-3.636225e-001
215	3.124343e+001
216	-2.873848e+000
217	2.086829e+003
218	1.042670e+000
219	1.443845e+002
220	1.120898e+001
221	3.611166e+002
222	4.324084e+000
223	-3.802998e+000
224	1.454804e+002
225	2.889464e+000
226	-3.674386e-001
227	2.647599e+003
228	-4.119121e+000
229	-4.259499e-001
230	1.106016e+001
231	-4.359744e+000
232	-1.044608e+000
233	-1.095500e+000
234	-6.707696e+000
235	-1.672386e-001
236	-2.108941e-001
237	-4.434664e+000
238	-7.068706e-001
239	1.515068e+001
240	-5.130761e+000
241	1.683296e+002
242	3.982363e+001
243	4.530204e+000
244	-4.356850e+000
245	5.351410e+000
246	5.206794e+000
247	2.089605e+000
248	-2.040299e+000
249	3.464844e+002
250	-9.617168e-001
251	3.658311e+001
252	-2.816911e+000
253	-2.606405e+000
254	9.216082e+001
255	2.502985e+002
256	9.693788e-001
257	4.158190e+000
258	3.258078e+002
259	-5.209240e+000
260	2.624915e+000
261	3.216007e+005
262	3.746231e+003
263	-9.067520e-002
264	-2.552169e-002
265	4.253667e+001
266	5.852640e+000
267	1.242379e+000
268	-2.426598e+000
269	7.273154e-001
270	4.193173e+001
271	-1.353451e+000
272	2.253053e+001
273	1.139825e+001
274	-2.822621e+000
275	1.085963e+000
276	7.977414e+000
277	7.975739e+000
278	-3.855443e+000
279	-1.371714e+000
280	1.956887e+001
281	-4.015999e+000
282	-3.213278e+000
283	-2.882478e+000
284	3.796636e+000
285	-5.934432e-001
286	4.326946e+003
287	-4.763664e+000
288	3.379429e+002
289	-3.660101e+000
290	1.891852e+001
291	-5.380714e+000
292	6.498534e+000
293	-1.863619e+000
294	2.233110e+001
295	2.783945e+000
296	-2.755692e+000
297	-1.557359e+000
298	7.373128e+000
299	2.999650e+000
300	-2.935265e-001
301	5.280446e+000
302	1.388746e+000
303	1.103535e+001
304	-3.181732e+000
305	-1.069448e+000
306	3.801787e+001
307	8.741741e+001
308	1.853988e+000
309	2.144936e-001
310	-2.964022e+000
311	4.289125e+000
312	8.970675e-001
313	1.008448e+001
314	3.845157e+001
315	1.438079e+001
316	3.714038e+003
317	2.456035e+001
318	-9.313898e-001
319	1.893943e+002
320	3.007507e+000
321	1.806721e+002
322	1.499129e+000
323	1.349328e+001
324	5.946407e-001
325	3.594170e+000
326	1.517987e+003
327	2.604211e+000
328	5.248327e+000
329	4.580583e-002
330	4.577102e+001
331	2.741304e+000
332	-2.592351e+000
333	-3.807797e+000
334	4.653500e+000
335	-3.601175e+000
336	6.784606e+000
337	1.282933e+001
338	-2.567273e+000
339	-2.943291e+000
340	-1.370738e+000
341	-3.556889e+000
342	-4.216830e+000
343	4.705586e+000
344	1.732790e+001
345	1.336291e+001
346	-2.032450e+000
347	6.478471e+000
348	-6.277535e+000
349	-4.325743e+000
350	-1.677359e-001
351	3.554316e+000
352	5.616291e+000
353	6.470494e+002
354	-4.767547e+000
355	-6.641405e+000
356	5.911708e+001
357	2.507357e+003
358	5.948332e+000
359	4.291052e+002
360	-3.820195e+000
361	9.681459e+000
362	2.847785e+000
363	-4.427358e-001
364	6.170534e-001
365	-5.796622e+000
366	-5.025751e+000
367	-1.648049e+000
368	8.999262e+001
369	-9.241947e-001
370	9.442368e+000
371	1.653181e+001
372	7.096604e+001
373	7.157256e+001
374	-4.024603e+000
375	3.858433e+000
376	-4.405173e+000
377	-6.380677e+000
378	-6.353510e+000
379	-3.130815e+000
380	7.894264e+002
381	1.049835e+001
382	-5.340149e+000
383	1.850480e+000
384	-4.909031e-001
385	-2.669378e+000
386	9.558487e+003
387	9.778156e+001
388	4.879603e+001
389	-4.841421e+000
390	3.515604e+000
391	1.671396e+002
392	-1.861038e+000
393	3.756712e+003
394	1.539040e+001
395	-6.095563e+000
396	1.125890e+003
397	-1.597403e+000
398	3.835358e+001
399	1.047747e+001
400	5.819063e+002
401	-4.493176e+000
402	8.110998e+001
403	2.936905e-001
404	-6.509710e+000
405	8.784877e+000
406	-6.684147e+000
407	1.638668e+002
408	2.142694e+001
409	5.190479e+000
410	9.989555e+000
411	5.658732e-001
412	5.671776e+001
413	1.345457e+002
414	-3.868338e+000
415	3.262263e+001
416	9.726803e-001
417	4.355988e+000
418	8.789840e-001
419	1.096378e+001
420	-2.387980e+000
421	1.914362e+003
422	1.823233e+001
423	-3.216234e+000
424	-3.533985e+000
425	2.459760e+003
426	3.341181e+003
427	8.618010e+000
428	4.915890e+000
429	2.229483e+004
430	-4.208054e+000
431	-1.482379e+000
432	3.326977e+000
433	7.787771e-001
434	-1.662188e+000
435	-6.720657e+000
436	4.351778e+002
437	2.986149e+000
438	2.039000e+001
439	4.918398e+000
440	2.949018e+001
441	3.646683e+003
442	7.466793e+002
443	7.459612e+004
444	-4.546102e-001
445	1.836194e+001
446	-5.136400e+000
447	1.055058e+002
