Reporter Identifier	VALUE
1	1.514726e+003
2	7.526775e+000
3	1.496174e+004
4	-9.368733e+000
5	-3.745288e+000
6	-5.692586e+000
7	-1.160398e+001
8	-4.067004e+000
9	-3.702650e+000
10	-1.094007e+001
11	8.515198e-001
12	-1.203808e+001
13	-1.252021e+001
14	-6.951717e+000
15	-9.160568e+000
16	3.424793e+000
17	-1.246940e+001
18	-1.434530e+001
19	4.003802e+001
20	-5.962964e+000
21	-4.699951e+000
22	-1.065699e+001
23	-5.294970e+000
24	-4.771785e+000
25	9.228206e+000
26	-1.498540e+000
27	-4.763181e+000
28	-7.140355e+000
29	-1.231581e+001
30	-1.076842e+001
31	7.319531e+001
32	7.911445e+002
33	3.023483e+001
34	1.892670e+003
35	-1.644392e+001
36	-1.155129e+001
37	-5.295442e+000
38	3.071588e+001
39	-1.100631e+001
40	-8.536769e+000
41	-9.042609e+000
42	-5.062881e+000
43	8.736054e+001
44	2.874294e+002
45	1.368470e+002
46	-8.792834e+000
47	-9.300645e+000
48	-1.514387e+000
49	3.779640e+000
50	-4.950830e+000
51	-2.168147e+000
52	-3.700572e+000
53	-2.096382e-001
54	-2.778351e+000
55	-5.693947e-001
56	9.931808e+002
57	4.344527e+000
58	2.388204e+003
59	-5.396858e+000
60	-4.108576e+000
61	2.078408e+003
62	1.170944e+001
63	3.722576e+001
64	-9.430258e+000
65	9.222206e+000
66	1.302408e+001
67	2.138591e+003
68	-5.053943e+000
69	-4.634709e-001
70	8.536265e+002
71	1.990841e+002
72	1.000328e+000
73	4.461662e+001
74	3.301330e+002
75	7.949203e+002
76	3.336074e+003
77	-4.816748e+000
78	6.624349e+003
79	8.515896e+000
80	2.628129e+000
81	8.880699e+002
82	1.501783e+003
83	6.037724e+002
84	4.580408e+000
85	6.330281e+000
86	-2.601450e+000
87	-7.177409e+000
88	1.291964e+001
89	-2.764044e+000
90	-7.221975e-001
91	-3.020907e+000
92	1.373931e+001
93	1.130315e+001
94	-1.264463e+001
95	-8.612285e+000
96	-6.965072e+000
97	4.478162e+001
98	-8.656840e+000
99	1.357078e+001
100	-8.001527e+000
101	5.092915e+001
102	-3.796447e+000
103	-6.482188e+000
104	7.029772e+000
105	1.291643e+003
106	-7.909875e+000
107	2.392808e+000
108	-6.755775e+000
109	1.252281e+001
110	3.894438e+001
111	8.256549e+001
112	9.632516e-001
113	6.899197e+001
114	4.124844e+000
115	-1.081072e+001
116	-1.036753e+001
117	-4.045747e+000
118	-3.705851e+000
119	4.077285e+003
120	1.717048e+003
121	-1.261202e+001
122	2.020776e+001
123	-5.643780e+000
124	4.037287e+002
125	-7.062906e+000
126	-4.240123e+000
127	-4.875194e+000
128	3.747498e+001
129	4.389909e+002
130	7.903179e+000
131	4.101508e+001
132	8.982022e+000
133	-2.416448e+000
134	1.013730e+001
135	-3.360382e+000
136	8.955130e+001
137	-3.704957e+000
138	4.664394e-001
139	9.129465e+000
140	-6.608812e+000
141	-5.160367e+000
142	-1.997639e+000
143	-3.201730e+000
144	1.341623e+001
145	-4.523928e+000
146	-3.959504e+000
147	-9.733934e-001
148	2.939709e+003
149	2.039805e+003
150	-6.291198e+000
151	-1.080887e+000
152	4.963698e+002
153	-7.025887e-001
154	1.285893e-001
155	1.235094e+002
156	-4.887088e+000
157	9.108284e-001
158	1.809556e+001
159	1.040844e+002
160	-9.758881e+000
161	2.449492e+000
162	2.884031e+000
163	4.028544e+000
164	1.449643e+003
165	5.533677e+000
166	5.206866e+000
167	-3.282637e+000
168	4.839984e+002
169	9.285867e+000
170	1.031316e+001
171	8.081383e+000
172	-1.968096e+000
173	7.793588e+002
174	-1.169548e+001
175	-3.074499e+000
176	-1.078127e+001
177	-1.037704e+001
178	-5.469929e+000
179	3.968842e+003
180	-6.001812e+000
181	-8.127837e+000
182	4.969427e+000
183	-1.040611e+001
184	-3.376991e+000
185	-7.475710e+000
186	1.609576e+001
187	-5.897828e+000
188	1.618947e+002
189	5.150341e+000
190	-4.719120e+000
191	-5.941017e+000
192	-8.907214e+000
193	-8.798741e+000
194	-9.588499e+000
195	-7.684551e+000
196	-4.781046e+000
197	-9.199713e+000
198	-8.721420e+000
199	-1.664624e+001
200	6.404082e+002
201	-4.972881e+000
202	2.490117e+001
203	6.074100e+002
204	-3.197664e+000
205	-8.577047e+000
206	-6.560268e+000
207	3.104221e+000
208	1.032765e+001
209	8.540385e+000
210	1.083416e+003
211	-2.921415e+000
212	1.077166e+002
213	1.898190e+000
214	-7.132039e+000
215	1.220189e+001
216	-2.228412e+000
217	1.097566e+003
218	-5.701040e+000
219	1.718621e+002
220	1.462423e+001
221	6.177504e+002
222	1.147507e+000
223	-2.400282e+000
224	1.747518e+002
225	-7.505529e+000
226	-6.289250e+000
227	1.155741e+004
228	-3.738727e+000
229	-5.536028e+000
230	-3.129871e+000
231	-5.137369e+000
232	-3.793785e+000
233	5.477923e+000
234	-5.088726e+000
235	-3.048647e+000
236	-1.302234e+000
237	-5.168514e+000
238	-1.334540e+000
239	1.020205e+001
240	-6.815752e+000
241	3.087339e+001
242	1.876652e+001
243	7.492754e+000
244	-4.441671e+000
245	-6.300303e-002
246	1.090401e+000
247	6.767979e+000
248	-5.084481e+000
249	1.104361e+003
250	-6.199698e-001
251	1.531407e+000
252	-4.000401e+000
253	-6.356868e+000
254	7.441684e+001
255	8.304205e+001
256	-2.637566e+000
257	-5.124285e+000
258	6.004241e+002
259	-9.156878e+000
260	-4.490125e-001
261	1.857393e+005
262	1.252337e+003
263	-2.252944e+000
264	-6.697045e+000
265	8.946843e+001
266	-1.187099e+000
267	6.181475e-001
268	-8.164794e+000
269	-8.908661e+000
270	4.987194e+001
271	-7.566164e+000
272	1.997363e+001
273	-6.777274e+000
274	-1.116045e+001
275	-2.575743e+000
276	-1.153345e+001
277	1.535882e-001
278	-5.690761e+000
279	-7.619057e+000
280	3.773185e+002
281	-1.537801e+001
282	-1.497062e+001
283	-1.154596e+001
284	-4.607764e+000
285	-3.606352e+000
286	2.510327e+003
287	-8.104953e+000
288	2.645163e+002
289	-1.012898e+001
290	8.529354e+001
291	-1.199234e+001
292	2.487993e+000
293	1.233474e+001
294	5.232694e+000
295	6.199892e+000
296	-3.581555e+000
297	6.680994e+002
298	5.013467e+001
299	-5.132002e+000
300	-6.200677e-001
