Reporter Identifier	VALUE
1	3.091389e+003
2	9.619849e+000
3	4.086383e+003
4	2.888839e-001
5	-7.944454e+000
6	-1.099164e+001
7	-7.415478e+000
8	-2.027538e+000
9	-3.370822e+000
10	-1.090906e+001
11	-8.468790e+000
12	-5.924647e+000
13	-3.515347e+000
14	-6.891856e+000
15	-7.377758e+000
16	5.659197e+000
17	-1.011671e+001
18	-5.256691e+000
19	3.518351e+001
20	-2.084445e+000
21	-1.110567e+001
22	-8.067909e+000
23	-5.640133e+000
24	-2.200584e+000
25	2.502048e+002
26	-1.430418e+000
27	1.191882e+000
28	-1.305910e+001
29	-1.056820e+001
30	2.876842e+000
31	2.550185e+002
32	2.581239e+003
33	1.387503e+002
34	2.293166e+003
35	-9.283440e+000
36	-2.903277e+000
37	2.580236e+001
38	9.464346e+001
39	-1.870881e+000
40	-7.745105e+000
41	-1.324517e+000
42	2.097048e+000
43	2.770707e+001
44	1.362496e+002
45	2.300355e+002
46	-3.541932e+000
47	-7.645503e+000
48	-1.028332e+001
49	2.386743e+000
50	-1.326802e+000
51	-5.200837e+000
52	-6.508011e+000
53	6.585333e+000
54	-3.321990e+000
55	8.219050e+000
56	1.489234e+003
57	5.340642e+000
58	4.019120e+003
59	-7.082877e+000
60	-3.135777e+000
61	4.717433e+003
62	1.773496e+001
63	4.206878e+002
64	-1.103808e+001
65	5.008088e+000
66	7.544661e+000
67	2.460637e+003
68	-6.197950e+000
69	-4.052710e+000
70	1.953062e+003
71	1.868620e+002
72	2.222785e+000
73	5.683385e+001
74	3.409198e+002
75	1.620075e+002
76	6.035433e+003
77	1.147199e-001
78	8.910734e+003
79	1.651202e+001
80	3.449014e+000
81	3.489996e+003
82	3.621323e+003
83	2.946705e+003
84	5.651040e-001
85	1.205832e+000
86	-1.559024e+000
87	-1.098526e+001
88	1.175423e+001
89	-4.380808e+000
90	-7.688184e+000
91	1.895224e+000
92	1.753011e+001
93	5.686336e+001
94	4.703015e+000
95	-4.888760e+000
96	-8.114971e+000
97	9.048101e+001
98	-7.711750e+000
99	1.458826e+001
100	-4.390567e+000
101	7.686101e+001
102	2.780619e+000
103	-8.604468e+000
104	2.170112e+001
105	4.824658e+003
106	-2.873748e+000
107	9.269242e+000
108	-1.073910e+001
109	3.210659e+001
110	4.233263e+001
111	4.989913e+001
112	9.220545e+001
113	1.543570e+002
114	6.163440e+001
115	-1.041372e+001
116	-7.186379e-001
117	2.533792e+001
118	1.698792e+000
119	9.825159e+003
120	1.098651e+003
121	-8.380673e+000
122	1.504142e+001
123	-5.266528e+000
124	8.383133e+002
125	-7.317273e+000
126	-5.924103e+000
127	2.574656e+000
128	1.526208e+002
129	8.917189e+001
130	4.145856e+000
131	1.021466e+001
132	1.318059e+002
133	-3.691905e+000
134	1.187135e+000
135	6.975838e-001
136	7.821408e+001
137	-1.073597e+000
138	8.348432e+000
139	1.763909e+001
140	-5.009688e+000
141	-4.739139e+000
142	-6.863097e+000
143	-4.714901e-001
144	2.447604e+001
145	-3.262718e+000
146	-8.901621e+000
147	-5.500154e-001
148	1.089738e+004
149	3.947511e+002
150	-4.400338e+000
151	3.758933e-001
152	6.994415e+002
153	-1.261438e+000
154	1.627570e+000
155	8.433337e+001
156	-4.853286e+000
157	-9.474479e-001
158	3.132178e+001
159	1.662549e+002
160	-2.313852e+000
161	1.539232e+000
162	2.058279e+000
163	1.718376e+000
164	3.285226e+003
165	1.930766e+001
166	-8.626936e-001
167	4.201122e+000
168	6.717125e+001
169	1.283256e+001
170	4.682471e+001
171	9.424537e-001
172	-2.717905e+000
173	2.427087e+002
174	-1.148352e+001
175	4.241894e+000
176	1.649856e+000
177	-7.535705e+000
178	-2.024038e+000
179	5.974157e+003
180	-4.839115e+000
181	-2.070279e+000
182	9.355489e-001
183	-3.334404e+000
184	-4.426642e+000
185	-7.768341e+000
186	8.425737e+001
187	-5.686809e+000
188	4.122807e+001
189	1.106810e+001
190	-4.627827e+000
191	-1.819631e+000
192	-3.297627e+000
193	-5.125845e+000
194	-1.283006e+000
195	-3.448028e+000
196	5.040436e+000
197	-5.518355e+000
198	1.606595e+000
199	-6.755355e+000
200	3.701852e+003
201	3.251214e+000
202	1.240248e+002
203	1.599869e+003
204	1.854566e+000
205	-3.909673e+000
206	-3.696121e+000
207	3.391050e+000
208	3.693314e+002
209	1.289982e+001
210	4.045784e+002
211	-3.980830e+000
212	6.003269e+001
213	3.643808e-001
214	-3.561434e+000
215	2.441438e+001
216	-3.123561e+000
217	1.301816e+003
218	-5.307204e-001
219	5.037803e+002
220	7.006074e+000
221	4.908064e+002
222	-1.260394e+000
223	-6.587551e+000
224	5.099555e+002
225	-2.998527e+000
226	-3.421827e+000
227	2.153330e+004
228	-6.451368e+000
229	-9.334607e+000
230	9.433755e+000
231	-7.560455e+000
232	-8.218604e-001
233	8.593587e+000
234	-3.495183e+000
235	6.138892e+000
236	-5.091753e+000
237	-3.748849e+000
238	2.377359e+000
239	3.297710e+001
240	-6.529075e+000
241	4.121994e+000
242	3.667872e+001
243	4.165135e+000
244	-1.897992e+000
245	-3.868132e-003
246	-1.222493e+000
247	-1.284329e+000
248	-1.497379e+000
249	8.128455e+003
250	-1.122979e+000
251	3.413252e+000
252	-5.890082e+000
253	-1.635176e+000
254	4.621878e+001
255	7.352061e+001
256	-3.301546e+000
257	-2.109666e-002
258	4.524533e+002
259	-6.059612e+000
260	-2.267996e+000
261	7.696303e+004
262	4.413953e+003
263	-2.901619e+000
264	-1.625945e+000
265	1.312097e+002
266	1.628670e+001
267	1.488621e+000
268	-6.430403e-001
269	3.712515e-001
270	7.644921e+001
271	4.233353e+000
272	1.323071e+001
273	3.810501e-001
274	-6.955122e+000
275	-1.735046e+000
276	2.809958e+000
277	3.344270e-001
278	-4.555520e-001
279	-3.662103e+000
280	7.069861e+002
281	-4.457270e+000
282	-5.688987e+000
283	-6.878437e+000
284	5.104144e+000
285	-2.064088e+000
286	5.437980e+003
287	-2.450910e+000
288	3.596007e+002
289	-2.499449e+000
290	1.722116e+001
291	-3.356424e+000
292	6.894559e-001
293	-4.258164e+000
294	7.318379e+000
295	3.152170e+000
296	1.431359e+000
297	2.429936e+003
298	1.255627e+002
299	-1.609685e+000
300	3.459431e+000
301	1.294316e-001
302	-1.802905e+000
303	8.994806e+000
304	-5.199016e+000
305	8.078784e-001
306	4.750394e+003
307	2.333612e+002
308	4.675445e+000
309	-5.675480e-001
310	-1.104803e+001
311	1.731241e+000
312	2.800986e+000
313	9.861456e+000
314	4.941501e+001
315	1.187187e+001
316	2.248084e+003
317	1.387975e+001
318	1.760293e+000
319	3.693324e+002
320	4.068279e-002
321	2.299417e+002
322	-4.244606e+000
323	2.388719e+001
324	-2.396671e+000
325	4.055446e+000
326	2.174515e+004
327	-5.955938e-001
328	4.217150e+000
329	3.199375e+003
330	5.077368e+001
331	9.240079e+000
332	1.965961e+000
333	3.573446e-002
334	6.928154e+000
335	-3.739274e-001
336	3.307709e+001
337	1.141466e+001
338	-6.020803e-003
339	-2.258936e+000
340	-9.196543e+000
341	-5.838167e+000
342	-4.614698e+000
343	-5.568128e+000
344	-2.159979e+000
345	8.277081e+001
346	-6.495786e+000
347	-6.188582e+000
348	1.482114e+002
349	-3.706177e+000
350	4.233265e+000
351	1.432393e+001
352	7.358810e+001
353	9.718322e+002
354	-3.577092e+000
355	-1.519033e+000
356	3.716048e+001
357	3.021477e+004
358	-2.612938e-001
359	1.290287e+004
360	-3.529631e+000
361	1.059916e+001
362	9.023354e+000
363	-3.984926e+000
364	-8.330393e-001
365	-2.410468e+000
366	-3.373275e+000
367	-4.999734e+000
368	5.927829e+001
369	1.141928e+001
370	9.362154e+000
371	2.557798e+001
372	1.013600e+003
373	1.092021e+004
374	-4.255268e+000
375	9.961843e-001
376	-4.576194e+000
377	2.741556e+000
378	4.171466e-001
379	1.342842e+000
380	7.144258e+001
381	7.428435e+001
382	-2.221695e+000
383	-3.639660e+000
384	-1.829947e+000
385	-1.080715e+000
386	7.184873e+002
387	2.754013e+001
388	6.280801e+001
389	-4.014358e+000
390	-1.774517e+000
391	2.941418e+001
392	-8.250003e-001
393	9.426232e+002
394	3.823053e+001
395	-5.551914e+000
396	1.931807e+003
397	-8.621254e+000
398	5.359971e+003
399	2.177170e+001
400	6.466846e+001
401	-3.132819e+000
402	1.227028e+001
403	1.026083e+002
404	-2.418318e+000
405	2.566861e+000
406	-1.759695e+000
407	4.462318e+002
408	1.663762e+001
409	5.668589e+000
410	2.893039e+001
411	-1.380163e+000
412	3.930535e+001
413	1.020227e+003
414	3.350638e-001
415	2.220818e+001
416	-4.033967e-001
417	-2.147825e+000
418	1.261649e+000
419	3.818209e+001
420	-1.691721e+000
421	4.732994e+002
422	7.067613e+001
423	1.036862e+000
424	1.887677e-002
425	1.110460e+004
426	6.358917e+003
427	1.311764e+001
428	3.305252e+000
429	8.252720e+004
430	-7.101839e+000
431	-1.840534e+000
432	1.925731e+000
433	1.472486e+001
434	-6.481861e+000
435	-1.793298e-001
436	3.793085e+001
437	8.529323e-001
438	3.139298e+001
439	8.334969e+000
440	6.319733e+001
441	7.463421e+003
442	2.615913e+003
443	2.126844e+004
444	5.358300e-001
445	7.135041e+001
446	6.338971e-001
447	2.746550e+002
448	-1.818470e+000
449	-4.086320e+000
450	-2.890147e+000
451	3.611841e+003
452	1.883414e+000
453	2.004171e+002
454	1.950738e+003
455	4.402002e+001
456	4.093441e+003
457	-1.575343e+000
458	-5.597281e+000
459	5.701466e+000
460	2.132259e+000
461	-1.580467e+000
462	-8.786914e+000
463	4.982215e+001
464	1.070336e+000
465	-6.144194e+000
466	-1.514984e+000
