Reporter Identifier	VALUE
1	1.921799e+002
2	4.066112e+000
3	7.319460e+004
4	-2.659525e+000
5	1.450700e+000
6	-3.281600e+000
7	-1.591921e-001
8	3.445713e+000
9	-1.398697e+000
10	-1.042493e+000
11	4.548399e+000
12	-9.596847e-001
13	1.279512e+000
14	-1.835401e+000
15	-4.519599e+000
16	7.453773e+000
17	1.785585e+000
18	-4.268308e+000
19	1.208727e+001
20	-1.917175e+000
21	2.453379e+000
22	-3.688369e+000
23	-5.141399e-001
24	-2.196216e+000
25	2.374704e+001
26	3.345709e+001
27	-9.414960e-001
28	-4.890938e+000
29	-3.351660e+000
30	-2.763049e+000
31	2.989261e+002
32	9.517404e+002
33	5.370082e+001
34	1.839358e+003
35	-5.674077e+000
36	-1.009149e+000
37	2.240981e+001
38	7.128873e+001
39	-4.631537e+000
40	-3.889456e+000
41	-7.961058e-001
42	-2.847028e+000
43	1.081375e+002
44	1.174982e+003
45	2.879266e+002
46	-3.711549e+000
47	-3.849039e+000
48	-2.895130e+000
49	3.237352e+000
50	-1.395282e+000
51	-3.800303e+000
52	-3.284821e+000
53	3.745529e-001
54	-1.468491e+000
55	3.190707e+000
56	4.961349e+002
57	7.051707e+000
58	2.357940e+003
59	-3.029303e-002
60	-1.581719e+000
61	1.202800e+003
62	5.728553e+000
63	6.714456e+000
64	-3.871858e+000
65	3.885369e+000
66	2.347805e+001
67	1.554324e+003
68	-2.944963e+000
69	-2.657914e+000
70	5.286666e+002
71	1.936955e+002
72	4.401600e-001
73	1.059685e+001
74	1.710196e+002
75	7.422049e+002
76	5.565106e+003
77	-1.776559e+000
78	1.122910e+004
79	1.404284e+001
80	9.970278e-001
81	-2.222187e+000
82	1.625355e+002
83	-1.525251e+000
84	1.627183e+000
85	4.922966e+000
86	1.546732e+001
87	-1.869332e+000
88	1.197091e+001
89	1.648268e+000
90	1.689165e+000
91	-1.184775e+000
92	1.298019e+001
93	1.131291e+001
94	-4.424553e+000
95	-2.188264e+000
96	-9.674489e-001
97	1.831617e+002
98	4.870128e-001
99	1.664669e+001
100	-7.394138e-001
101	9.964898e+001
102	3.151864e+000
103	-4.038612e+000
104	3.111340e+001
105	1.251994e+003
106	-1.893535e+000
107	2.030078e+000
108	-1.283108e+000
109	9.246532e+000
110	2.428137e+001
111	1.519535e+002
112	6.100854e+000
113	9.981286e+001
114	2.805298e+000
115	-2.938342e+000
116	-3.955268e+000
117	2.541012e+001
118	1.014501e+000
119	1.171932e+004
120	1.631263e+003
121	-6.337114e+000
122	2.389055e+001
123	-4.536084e+000
124	5.309130e+002
125	3.762124e+000
126	-4.259927e+000
127	2.022531e+000
128	8.042989e+001
129	1.931568e+002
130	1.226879e+001
131	2.472788e+001
132	-1.539692e+000
133	-2.020719e+000
134	4.872440e+000
135	4.873306e+000
136	4.902848e+001
137	-4.274671e-001
138	2.612734e-001
139	2.733874e+001
140	-2.540623e+000
141	-2.895702e+000
142	-8.499577e-001
143	-3.497911e+000
144	1.149578e+001
145	-2.643155e-001
146	-1.003822e+000
147	7.871880e+000
148	2.664979e+003
149	2.909013e+003
150	-2.767328e+000
151	-1.624035e-001
152	2.044069e+002
153	2.216250e+000
154	8.746266e-001
155	9.227851e+001
156	-3.413357e+000
157	1.417443e+000
158	1.283461e+001
159	1.971902e+002
160	-3.508338e+000
161	3.582630e+000
162	2.417104e+000
163	3.964369e-001
164	1.435901e+002
165	2.098220e+000
166	2.902057e+000
167	-1.780275e+000
168	8.561458e+001
169	1.521431e+001
170	2.212405e+001
171	5.553592e+000
172	-3.309563e+000
173	8.667618e+002
174	-3.335488e+000
175	2.663419e+000
176	4.479718e+000
177	-3.005969e+000
178	-1.379578e-001
179	4.791785e+003
180	-1.745087e+000
181	-1.098407e+000
182	8.518278e-001
183	-1.179387e+000
184	-3.174725e+000
185	-1.669322e+000
186	7.383695e+000
187	-1.404391e+000
188	4.172168e+002
189	8.859935e+000
190	-6.828758e-001
191	-6.266838e-001
192	-6.166396e+000
193	-3.348689e+000
194	-2.266143e+000
195	-2.989171e+000
196	-3.012104e+000
197	-1.692029e+000
198	2.705172e+000
199	-2.919073e+000
200	-3.249332e+000
201	5.445762e-001
202	2.290538e+001
203	3.066120e+002
204	-5.735596e-001
205	-4.668945e+000
206	-2.812595e+000
207	1.154762e+000
208	1.689831e+001
209	4.649933e+000
210	1.465134e+003
211	-1.584474e+000
212	4.824405e+002
213	1.018527e+001
214	-3.139762e+000
215	1.620916e+001
216	-5.478945e+000
217	3.068111e+003
218	8.465380e-001
219	7.651483e+001
220	1.617255e+001
221	6.107241e+002
222	1.256120e+000
223	-1.914004e+000
224	7.139572e+001
225	-6.585909e-001
226	-3.303860e+000
227	1.636092e+004
228	1.696804e+000
229	-2.762010e+000
230	1.417748e+000
231	-2.051295e+000
232	3.537059e+000
233	7.741511e+000
234	-6.173056e+000
235	-5.896641e+000
236	-2.038955e-001
237	-3.432944e+000
238	-1.664724e+000
239	9.132138e-001
240	-1.403590e+000
241	3.468639e+001
242	1.512576e+001
243	5.919513e+000
244	-1.103124e+000
245	1.242952e+000
246	-2.579256e-003
247	7.244961e+000
248	-1.789140e+000
249	2.586030e+003
250	1.344223e-001
251	9.124512e+000
252	-2.433674e+000
253	-2.852464e+000
254	6.475985e+001
255	2.178750e+001
256	1.961723e+000
257	7.574596e-001
258	4.175279e+002
259	-2.059607e+000
260	1.896941e+000
261	2.814450e+005
262	2.115315e+003
263	-6.089816e-001
264	-4.641090e+000
265	2.300416e+002
266	5.776984e-001
267	-1.169685e+000
268	-3.814538e+000
269	-4.045659e+000
270	4.289407e+001
271	-3.877826e+000
272	1.975717e+001
273	4.446918e+000
274	-3.926551e+000
275	8.390215e+000
276	-4.062897e+000
277	2.955533e+000
278	-2.997011e+000
279	-3.626245e+000
280	2.027479e+002
281	2.804440e+000
282	-2.470897e+000
283	-1.191287e+000
284	6.730538e+000
285	-6.762224e-002
286	3.733760e+003
287	-5.082838e+000
288	4.004080e+002
289	-3.485439e+000
290	6.314873e+001
291	-4.584449e+000
292	4.347493e+000
293	-2.512417e+000
294	9.558816e+000
295	7.920763e-001
296	-2.296731e+000
297	-1.959430e+000
298	6.595816e+001
299	9.770649e+000
300	-4.667133e+000
301	1.273201e+000
302	1.852020e+000
303	2.055179e+001
304	-3.154182e+000
305	-2.680699e+000
306	1.880975e+003
307	2.366057e+001
308	7.885632e+000
309	-6.954866e-001
310	-1.554325e+000
311	-3.103958e+000
312	1.258272e+000
313	3.470834e+000
314	1.129787e+002
315	-3.375984e-001
316	2.340089e+003
317	2.142999e+001
318	-7.235112e-001
319	4.820695e+002
320	6.929108e-002
321	7.412648e+001
322	-2.211153e+000
323	1.892417e+000
324	-2.996209e+000
325	5.434415e-001
326	3.788593e+003
327	-1.697099e+000
328	2.465058e+000
329	-1.275920e+000
330	1.828148e+001
331	5.203384e+000
332	2.093422e+000
333	-3.733437e+000
334	-8.999287e-001
335	-3.358738e+000
336	1.140013e+001
337	-7.134461e-001
338	-2.287737e-001
339	-8.059115e-002
340	-3.182081e-001
341	-2.060284e+000
342	-6.937966e-001
343	2.330952e+000
344	1.293801e+001
345	1.473410e+001
346	2.853052e+000
347	-9.322188e-001
348	-6.462849e-001
349	-1.607562e+000
350	-1.825027e-001
351	1.699972e+000
352	8.043939e+001
353	5.999263e+002
354	3.772679e+000
355	-4.488471e+000
356	1.652150e+002
357	2.315216e+004
358	-3.868887e-001
359	1.965293e+003
360	-1.378071e+000
361	2.429661e+001
362	-2.598344e+000
363	-3.111982e+000
364	-1.984776e+000
365	-4.261039e+000
366	-4.302368e+000
367	-4.183097e+000
368	6.427686e+001
369	7.086255e+000
370	2.617058e+001
371	2.769383e+000
372	6.390745e+002
373	3.088733e+003
374	-5.452835e+000
375	-8.358787e-001
376	-2.817201e+000
377	-4.091675e+000
378	-4.799538e+000
379	-5.037178e+000
380	6.756218e+001
381	8.597378e+000
382	-2.929369e+000
383	-3.524405e-001
384	-3.850346e+000
385	-2.611090e+000
386	4.043236e+003
387	5.281126e+001
388	1.319384e+002
389	-3.809482e+000
390	-2.604450e+000
391	1.964131e+001
392	-3.669570e+000
393	9.633654e+002
394	1.400119e+001
395	-4.653163e+000
396	1.538576e+003
397	-2.735737e+000
398	1.856958e+003
399	7.517684e+000
400	4.646752e+002
401	-4.481852e+000
402	1.999417e+001
403	9.778167e+000
404	-2.679860e+000
405	-8.125629e-001
406	-4.186499e+000
407	4.864433e+002
408	1.649697e+001
409	3.673042e+000
410	3.330024e+001
411	2.821742e+000
412	3.595949e+001
413	3.575751e+002
414	-1.676185e+000
415	3.816335e+001
416	-2.401098e+000
417	-7.488496e-001
418	2.928584e+001
419	1.389942e+001
420	-1.400253e+000
421	1.489942e+003
422	5.252053e+001
423	-2.798231e+000
424	-3.668106e+000
425	2.017096e+003
426	4.404360e+003
427	3.416049e+000
428	3.292507e+000
429	2.589861e+004
430	-4.991109e+000
431	-2.153074e+000
432	-1.127801e+000
433	-4.158677e+000
434	-3.463827e+000
435	-3.511421e+000
436	3.543580e+002
437	-5.962774e-001
438	1.896715e+001
439	1.373906e+000
440	1.188340e+001
441	4.784123e+003
442	5.525272e+002
443	6.656880e+004
444	-3.014454e+000
445	1.495762e+002
446	-2.657903e+000
447	2.444871e+002
448	-9.952051e-001
449	-4.496666e+000
450	-2.315181e+000
451	1.454099e+003
452	-1.762451e+000
453	1.502775e+001
454	1.614739e+003
455	2.724328e+001
456	3.592286e+003
457	7.172886e+001
458	-5.762939e+000
459	1.333861e+001
460	-5.517352e-001
461	-2.199899e+000
462	-5.157567e+000
463	1.366818e+001
464	-2.322756e+000
465	-2.882920e+000
466	-2.017522e+000
467	-3.660981e+000
468	3.567756e+003
469	-2.594815e+000
470	-1.548814e+000
471	-2.002350e+000
472	-1.774220e+000
473	1.037513e+004
474	-3.193942e+000
475	-1.968441e+000
476	3.992709e+001
477	2.101271e+002
478	-4.339617e+000
479	8.611773e+002
480	2.872609e+000
481	2.956544e+000
482	-4.868718e+000
483	3.891178e+003
484	4.400372e+002
485	-2.331322e+000
486	-5.931084e+000
487	2.050391e+001
488	-2.247017e+000
489	8.464006e+000
490	9.617950e+002
491	7.036015e+004
492	-5.598297e+000
493	4.022681e+000
494	1.498704e+002
495	4.996702e+000
496	4.576263e+002
497	-2.538390e+000
498	-6.617692e+000
499	-1.980914e+000
500	4.984642e+001
501	2.062965e+002
502	-1.308278e-001
503	-3.223191e+000
504	5.471539e+001
505	-3.342308e+000
506	-2.211420e+000
507	2.553253e+000
508	-1.128216e+000
509	-2.857404e+000
510	-6.943437e+000
511	2.955661e+000
512	-3.103341e+000
513	-2.755921e+000
514	-5.792418e+000
515	4.185259e+000
516	1.740657e+003
517	2.894184e+003
518	5.116119e+001
519	1.006326e+001
520	-4.352183e+000
521	-3.106027e-001
522	8.566291e+000
523	1.215862e+001
524	-2.557564e+000
525	6.006154e+001
526	-6.737205e-001
527	-1.815347e+000
528	-2.950739e+000
529	-2.051071e+000
530	4.848190e+001
531	-4.400470e+000
532	-1.323534e+000
533	-2.561733e+000
534	6.333130e+001
535	1.607004e+000
536	-3.953266e+000
537	-2.074233e+000
538	-1.956877e+000
539	-3.434930e+000
540	-3.041010e+000
541	-4.491265e+000
542	-4.428520e+000
543	1.287894e+001
544	-1.717899e-001
545	1.799874e+000
546	-3.857990e+000
547	-2.115930e+000
548	2.164888e+001
549	2.223544e+002
550	-3.550770e+000
551	1.282088e+001
552	-2.591015e+000
553	1.161094e+000
554	1.958034e+001
555	6.673497e-001
556	3.948778e+000
557	2.112431e+001
558	2.711191e+003
559	1.253181e+001
560	2.756022e+000
561	-5.314651e+000
562	2.944862e+002
563	4.879383e+000
564	1.269184e+001
565	2.694118e+001
566	-2.851304e+000
567	1.072268e+002
568	1.113655e+002
569	-2.671636e-001
570	5.486505e+003
571	4.284711e+001
572	-2.302014e-001
573	8.147298e+003
574	-1.507374e+000
575	3.466947e+000
576	-6.458845e-002
577	-1.402200e+000
578	-4.717572e+000
579	-2.800866e+000
580	8.007181e+001
581	-1.510324e+000
582	3.323349e+000
583	6.619400e+002
584	6.517293e+002
585	2.458776e+001
586	3.885471e+001
587	1.429431e+000
588	-2.828652e+000
589	2.893995e+000
590	7.801364e+001
591	7.717609e+001
592	8.013800e+000
593	1.907893e+000
594	-1.045816e+000
595	-3.318011e+000
596	6.440230e-001
597	5.426658e+003
598	6.084099e+001
599	-4.126411e+000
600	1.334466e+001
601	-9.538018e-001
602	-8.010721e-002
603	-4.439431e+000
604	-4.735346e+000
605	1.443872e+003
606	1.142123e+000
607	-3.580937e+000
608	4.382932e+000
609	4.352783e+001
610	-6.238524e-002
611	1.050432e+004
612	-2.116193e-001
613	-2.350277e+000
614	3.356924e+001
615	1.092033e+001
616	-5.947767e+000
617	-3.370252e+000
618	-9.043283e-001
619	-1.503943e+000
620	1.194498e+001
621	1.445403e+003
622	-3.188844e+000
623	6.132447e+000
624	-3.565761e+000
625	-3.006049e+000
626	1.281041e+000
627	1.084351e+001
628	9.463663e-001
629	-1.416067e+000
630	2.696664e+000
631	4.682927e-001
632	-1.965424e+000
633	1.229944e+002
634	-2.400909e+000
635	1.687078e+003
636	-4.039093e+000
637	9.699525e-001
638	4.765604e+001
639	9.757382e-001
640	1.044403e+001
641	4.052997e+001
642	-3.167977e+000
643	-3.588471e-001
644	1.859707e+001
645	1.620052e+002
646	3.719944e+001
647	3.144880e+001
648	3.899777e+000
649	8.803650e-001
650	2.181596e+000
651	5.657428e+000
652	-3.807133e+000
653	4.838071e+000
654	-2.238750e+000
655	2.110048e+001
656	-7.481166e-001
657	-1.022711e+000
658	7.304047e+001
659	8.658395e-001
660	8.383509e+001
661	4.278047e+000
662	6.628096e+000
663	1.038028e+003
664	-1.388184e+000
665	2.094327e+000
666	2.026825e+001
667	1.314090e+005
668	1.050960e+001
669	6.709001e+000
670	-7.936229e-001
671	2.161671e+000
672	-2.659155e+000
673	-3.058686e+000
674	8.369956e+001
675	6.353016e+004
676	-1.199275e+000
677	4.573738e+002
678	7.652650e-001
679	1.914397e+000
680	-2.046364e+000
681	2.042201e+000
682	1.366792e+004
683	-3.000828e+000
684	-1.593481e+000
685	2.711930e+002
686	1.028736e+001
687	3.051708e+003
688	-6.864625e-001
689	-2.416276e+000
690	-2.285786e+000
691	-2.054886e-001
692	2.033559e+001
693	9.120868e-001
694	-3.278791e+000
695	1.329001e+002
696	4.033344e+000
697	4.178972e+000
698	-4.235614e-001
699	-1.830348e+000
700	2.554975e+000
701	-2.177810e+000
702	-6.559804e+000
703	-1.905595e+000
704	7.229925e+001
705	1.135874e+003
706	1.030627e+003
707	1.441009e+001
708	-2.169619e+000
709	-5.605345e+000
710	-4.738235e+000
711	-1.805358e+000
712	1.437141e+000
713	1.688734e+003
714	4.385255e+000
715	-3.342193e+000
716	-7.352418e-001
717	-1.982325e+000
718	6.539596e+001
719	4.758902e+001
720	7.979935e+001
721	-2.234298e+000
722	2.692551e-001
723	1.906481e+001
724	1.506992e+001
725	1.271273e+005
726	-3.589497e+000
727	3.171692e+000
728	2.148126e+001
729	4.648941e-002
730	5.917037e+000
731	-7.249088e-001
732	2.655002e+003
733	-1.493263e-001
734	1.179191e+000
735	3.015589e-001
736	8.942073e+000
737	2.610651e-002
738	-1.002704e+000
739	-1.889151e-001
740	7.456617e+000
741	1.439164e+002
742	6.133377e+001
743	4.147624e+002
744	-1.744739e+000
745	-4.676084e+000
746	-8.329271e-001
747	-1.233127e+000
748	-3.032879e-001
749	1.248104e+003
750	2.943442e+000
751	1.013433e+004
752	-2.503053e+000
753	1.024046e+004
754	-1.860167e+000
755	-3.196538e+000
756	-1.544057e+000
757	7.762136e-001
758	-5.175768e+000
759	-2.193046e+000
760	1.498558e+001
761	-3.122126e-001
762	4.088106e+000
763	1.759237e+001
764	-2.140500e+000
765	1.265249e+000
766	1.655647e+001
767	3.229649e+000
768	4.827451e+000
769	8.155168e+000
770	7.988362e-001
771	-2.204448e+000
772	1.871991e+001
773	1.225665e+001
774	-2.929441e+000
775	-6.038303e+000
776	-1.054021e+000
777	-6.464973e+000
778	-1.795784e-001
779	2.246998e+001
780	1.292369e+002
781	-5.465034e+000
782	4.450546e-001
783	-2.429144e+000
784	-8.357210e-001
785	5.499613e+001
786	-3.818362e+000
787	4.538488e+000
788	-1.903318e+000
789	-4.686374e+000
790	8.832804e+001
791	-2.892965e+000
792	1.956143e+000
793	-5.481125e-001
794	1.113275e+000
795	1.397554e+002
796	-3.285095e+000
797	-4.144200e+000
798	8.696928e+000
799	5.248323e+001
800	-6.226668e+000
801	1.048832e+001
802	3.319877e+002
803	-1.713444e+000
804	6.586830e+000
805	5.769698e+003
806	-4.301351e+000
807	1.522966e+001
808	1.653569e+002
809	-6.035822e+000
810	-4.469175e+000
811	-5.484709e+000
812	1.210386e+001
813	7.067357e+002
814	-4.101241e+000
815	2.040618e+001
816	6.720225e+001
817	2.013107e+001
818	-2.723827e+000
819	-2.741657e+000
820	9.044823e+002
821	2.553770e+001
