Reporter Identifier	VALUE
1	4.522680e+002
2	3.310493e+000
3	1.951160e+004
4	-1.226735e+000
5	2.397952e+000
6	-1.685135e+000
7	-6.706906e-001
8	3.318188e+000
9	1.650552e+000
10	5.920316e+000
11	3.084612e+000
12	2.297054e+000
13	-1.201230e+000
14	2.040453e+000
15	3.141869e+000
16	6.258078e+000
17	1.254754e+000
18	-5.997074e-001
19	5.920176e+001
20	-1.413875e+000
21	1.110953e+000
22	-1.157665e+000
23	-4.636461e-001
24	1.639459e+000
25	3.102108e+000
26	5.884664e+000
27	1.157400e+000
28	-1.464850e+000
29	2.812036e-001
30	3.785020e+000
31	1.352239e+002
32	1.901531e+003
33	2.058529e+001
34	2.095640e+003
35	-3.824787e-001
36	3.937670e-001
37	1.001797e+001
38	5.959335e+001
39	-2.509491e+000
40	-4.013705e-001
41	1.741302e+000
42	9.152495e-001
43	1.281422e+002
44	7.139474e+002
45	2.450336e+002
46	-2.262205e-001
47	-1.679315e+000
48	-1.885677e+000
49	4.910759e+000
50	-3.100589e-001
51	2.981016e+000
52	5.355503e-001
53	1.380333e+000
54	2.500852e+000
55	2.952751e+000
56	4.271187e+002
57	7.277252e+000
58	6.679034e+003
59	1.339301e+000
60	-2.394059e+000
61	3.266136e+003
62	5.345766e+001
63	2.975927e+001
64	1.152686e+000
65	4.172508e+000
66	2.522790e+001
67	1.624670e+003
68	-1.188416e+000
69	1.136693e+000
70	1.806395e+003
71	1.957654e+002
72	1.990217e+000
73	7.869166e+001
74	8.715257e+001
75	2.920501e+002
76	2.616594e+003
77	5.428797e+000
78	4.275861e+003
79	1.136362e+001
80	7.714106e-001
81	5.748156e-001
82	4.176213e+002
83	3.013908e+000
84	5.638618e+000
85	2.370113e+000
86	9.866567e+000
87	7.178219e-001
88	9.930312e+001
89	1.058767e+001
90	4.895549e+000
91	5.602525e+000
92	2.809429e+001
93	1.603639e+001
94	6.966509e+000
95	1.028649e+000
96	-4.938894e-001
97	7.374654e+001
98	5.555486e+000
99	3.035905e+001
100	4.156693e+000
101	1.201898e+002
102	4.119635e+000
103	5.846196e-001
104	9.017876e+000
105	9.493951e+002
106	-9.966681e-001
107	7.160267e+000
108	-1.385099e+000
109	3.079851e+000
110	2.019712e+001
111	9.024928e+001
112	-2.485426e+000
113	2.080343e+002
114	2.918902e+001
115	-4.078801e-001
116	2.647032e-001
117	1.421993e+001
