Reporter Identifier	VALUE
1	1.720431e+003
2	8.457991e+000
3	1.141242e+004
4	-4.029780e+000
5	-3.696977e-001
6	-4.734310e+000
7	-2.155206e+000
8	1.418950e+001
9	-2.428271e-001
10	-3.291593e-001
11	-2.736005e-001
12	-6.449658e+000
13	-3.267370e+000
14	1.700889e-001
15	-4.211667e+000
16	1.180759e+001
17	-6.848698e+000
18	-3.964758e+000
19	2.767797e+001
20	-2.496893e+000
21	-3.437330e+000
22	1.583981e+000
23	-2.296056e-001
24	4.476881e+000
25	1.021943e+003
26	2.884787e+001
27	-6.569678e-001
28	-5.753829e+000
29	-4.456485e+000
30	4.077248e+000
31	7.525500e+002
32	8.624493e+002
33	2.359973e+001
34	1.105198e+003
35	-2.609256e-001
36	1.737879e+000
37	2.806770e+001
38	3.852760e+001
39	-2.216693e+000
40	-3.985507e+000
41	1.650040e+001
42	-2.715840e-002
43	7.789737e+001
44	2.702381e+002
45	3.120796e+001
46	-1.639778e+000
47	-4.117567e+000
48	-2.548499e-001
49	3.614635e+000
50	1.696250e+000
51	-3.029344e+000
52	3.283846e+000
53	1.162507e+001
54	2.207975e+000
55	1.595816e+000
56	5.539962e+002
57	7.303630e+000
58	5.041215e+003
59	-4.231634e+000
60	-2.252144e+000
61	2.070118e+003
62	3.015222e+001
63	3.341961e+001
64	-5.430654e+000
65	1.126321e+001
66	1.344840e+000
67	5.643459e+002
68	-4.121227e+000
69	-1.445371e+000
70	9.434781e+002
71	3.080785e+002
72	-8.620580e-001
73	1.913238e+003
74	2.148288e+002
75	2.123891e+001
76	2.069552e+003
77	-1.634899e+000
78	5.333962e+003
79	1.278789e+001
80	7.522518e+000
81	8.738902e+002
82	1.756500e+003
83	7.123362e+002
84	4.423637e+000
85	2.990306e+000
86	-2.168500e+000
87	-4.013554e+000
88	2.381263e+001
89	-1.369199e+000
90	5.143508e-001
91	-1.821556e+000
92	2.033693e+001
93	1.298514e+001
94	1.446419e+000
95	-2.115940e+000
96	-5.192693e-001
97	3.993644e+001
98	-1.344007e+000
99	3.518923e+001
100	-3.077874e-001
101	5.702868e+001
102	4.844707e+000
103	-2.639914e+000
104	4.265767e+001
105	1.888807e+003
106	-3.982696e+000
107	1.399584e+000
108	-1.568941e+000
109	7.205952e+000
110	2.389268e+001
111	1.163984e+002
112	4.395913e+002
113	8.608161e+001
114	2.703079e+001
115	3.181972e-001
116	4.102638e+000
117	2.132012e+001
118	5.498241e+000
119	4.604314e+003
120	2.892241e+003
121	-5.614195e+000
122	3.325560e+001
123	4.992855e-001
124	1.061844e+003
125	-1.722707e+000
126	1.342996e+001
127	-1.769797e+000
128	3.856174e+002
129	1.084843e+002
130	1.814596e+001
131	2.870097e+001
132	5.475616e+001
133	-5.198643e+000
134	5.811936e+000
135	6.788976e+001
136	8.166603e+001
137	-2.598271e+000
138	4.637641e+000
139	2.791488e+002
140	-4.607759e+000
141	-3.523406e+000
142	-9.164278e-001
143	-1.142706e+000
144	1.498830e+001
145	-4.333793e+000
146	-2.352748e+000
147	4.107864e+001
148	2.362800e+003
149	1.287984e+003
150	-2.048969e+000
151	-1.794041e-001
152	2.790348e+004
153	2.563267e-001
154	3.530927e+000
155	9.647531e+001
156	-5.831582e+000
157	2.774123e+000
158	2.265684e+001
159	1.088071e+002
160	-3.851126e+000
161	4.391132e+000
162	1.121425e+000
163	2.479842e+000
164	1.700083e+003
165	5.251764e+000
166	4.675546e+000
167	-1.381850e+000
168	1.740135e+003
169	1.294216e+001
170	9.834958e+001
171	4.194700e+000
172	-2.371075e+000
173	3.125025e+002
174	-5.700310e+000
175	1.696849e+001
176	1.415171e+002
177	-4.786338e+000
