Reporter Identifier	VALUE
1	7.028408e+003
2	6.156756e+000
3	9.506200e+003
4	-2.343817e+000
5	-1.313223e+000
6	2.460647e+000
7	-3.409202e+000
8	7.645063e+000
9	-4.720988e+000
10	-1.447947e+000
11	3.556100e+000
12	-4.261423e+000
13	-6.891518e+000
14	-1.756891e-001
15	-4.685317e+000
16	5.041689e+000
17	-5.719892e-001
18	-4.264590e+000
19	4.739732e+000
20	1.350411e+000
21	-2.341512e+000
22	-5.603200e+000
23	2.080520e+001
24	-9.913840e-001
25	9.715694e+000
26	1.869115e+000
27	-2.220267e+000
28	-7.845549e+000
29	-6.781841e+000
30	3.548172e+000
31	4.985416e+001
32	5.166560e+002
33	1.642810e+001
34	2.482412e+003
35	6.059172e-001
36	-1.993032e+000
37	-1.883531e-001
38	1.237355e+001
39	-3.774859e+000
40	-5.567986e+000
41	-3.739022e+000
42	4.843333e+000
43	3.535673e+001
44	1.666937e+002
45	3.576587e+001
46	-3.504897e+000
47	-7.434613e+000
48	-7.628449e+000
49	-1.620197e+000
50	1.122499e+000
51	-2.129873e-001
52	3.357619e+000
53	4.610639e+000
54	-3.279077e+000
55	1.041675e+000
56	4.420863e+002
57	2.716925e+000
58	3.375337e+003
59	-8.869244e+000
60	-4.670643e+000
61	1.057650e+003
62	6.210315e+000
63	2.444191e+001
64	-3.326625e+000
65	4.469054e+000
66	6.091724e+000
67	1.159633e+003
68	-3.377320e+000
69	1.169224e+000
70	3.546780e+002
71	1.113792e+002
72	2.621920e+000
73	5.794953e+001
74	1.502760e+002
75	3.906708e+001
76	1.467513e+003
77	-2.214769e+000
78	2.770385e+003
79	1.273613e+001
80	3.895277e+000
81	2.663885e+001
82	9.132295e+003
83	2.300028e+001
84	1.875152e+000
85	4.621336e+000
86	5.761225e-001
87	-5.795137e+000
88	3.579464e-001
89	-5.015076e-001
90	1.454906e+000
91	1.727526e+000
92	2.058971e+001
93	1.394973e+001
94	-3.392218e+000
95	-4.046747e+000
96	-3.082046e-001
97	3.467300e+001
98	-2.904745e+000
99	3.228826e+001
