Reporter Identifier	VALUE
1	5.193963e+003
2	1.294685e+001
3	1.118065e+004
4	-7.560649e-001
5	5.687719e+000
6	7.076694e+000
7	5.647971e+000
8	1.007875e+001
9	2.761988e-001
10	7.720936e+000
11	6.399174e+000
12	7.744490e+000
13	8.190968e+000
14	9.625474e+000
15	1.726134e+000
16	1.038750e+001
17	2.365467e+000
18	1.444944e+000
19	1.145121e+001
20	1.197168e+001
21	8.031600e+000
22	1.060531e+001
23	1.029885e+001
24	1.028045e+001
25	1.401189e+001
26	2.539980e+001
27	2.496516e+000
28	2.902807e+000
29	2.606115e+000
30	8.108921e+000
31	2.600146e+002
32	1.082619e+003
33	1.081809e+002
34	2.490972e+003
35	1.362866e+001
36	7.108957e+000
37	3.159996e+001
38	1.982706e+001
39	1.749369e+000
40	2.832132e+000
41	4.117017e+000
42	4.363928e+000
43	6.637092e+001
44	2.013864e+002
45	1.727242e+002
46	4.117119e-001
47	4.853381e-001
48	-9.099028e-001
49	1.963125e+000
50	2.486607e+000
51	4.041786e+000
52	7.822110e-001
53	5.354877e+000
54	-1.650957e+000
55	1.702934e+000
56	7.724233e+002
57	2.168162e+000
58	1.249628e+003
59	-2.614860e+000
60	-6.040671e+000
61	1.554809e+003
62	7.142498e+000
63	3.747090e+001
64	5.884960e+000
65	1.586065e+001
66	-4.196611e-001
67	1.151767e+003
68	-6.528235e+000
69	3.905665e+000
70	4.687086e+002
71	8.894046e+001
72	1.735218e+000
73	2.693728e+001
74	1.623328e+002
75	1.603751e+002
76	1.755103e+003
77	1.617927e+000
78	4.077836e+003
79	1.043987e+001
80	5.513850e+000
81	4.082621e+002
82	4.779570e+003
83	3.512777e+002
84	9.455320e+000
85	1.152722e+001
86	-3.454571e+000
87	-4.082451e+000
88	1.904611e-003
89	5.022816e+000
90	2.937715e+000
91	4.265581e+000
92	1.184963e+001
93	2.723112e+001
94	5.617865e+000
95	3.128684e+000
96	8.485809e+000
97	3.597086e+001
98	7.729915e+000
99	1.899937e+001
100	2.688099e+000
101	5.284641e+001
102	4.527824e+000
103	2.263167e-001
104	1.400444e+001
105	2.218050e+003
106	-3.437635e-001
107	8.608347e+000
108	8.982555e+000
109	2.563278e+001
110	2.171742e+001
111	8.390939e+001
112	7.115799e+000
113	4.101573e+001
114	1.593634e+001
115	1.460732e+001
116	1.687705e+001
117	1.352827e+001
118	3.446033e+000
119	2.867455e+003
120	1.195545e+003
121	-6.204422e-001
122	1.660058e+001
123	-2.995320e-001
124	1.533826e+002
125	1.098154e+000
126	3.909726e+000
127	3.468806e+000
128	1.097364e+002
129	2.374691e+002
130	9.157727e+000
131	1.944164e+001
132	3.841683e+000
133	1.593862e-001
134	5.644232e+000
135	3.795745e+000
136	3.906490e+000
137	-4.470046e+000
138	3.035423e+000
139	6.692379e+001
140	-9.762615e-001
141	-9.087870e-001
142	-3.978246e+000
143	-2.085947e+000
144	5.044356e+000
145	-1.151224e+000
146	1.189253e+001
147	9.307260e+000
148	1.074431e+003
149	1.313634e+003
150	-9.352923e-001
151	7.150241e-001
152	1.023846e+003
153	5.211566e-001
154	5.419079e+000
155	8.078401e+001
156	-2.557819e+000
157	6.554681e-001
158	5.793279e+000
159	4.530192e+001
160	4.720054e+000
161	4.412349e+000
162	2.412421e+000
163	-1.308437e+001
164	3.884855e+003
165	8.139850e+000
166	4.160828e+000
167	2.920547e+000
168	1.301371e+002
169	-8.208783e-001
170	2.921205e+001
171	4.976899e+000
172	-7.099833e+000
173	6.225334e+002
174	2.359164e+000
175	5.421175e+000
176	3.982667e+001
177	-1.599324e+000
178	8.446546e+000
179	4.308406e+003
180	4.792218e+000
181	2.061226e+000
182	1.514606e+001
183	7.649987e+000
184	5.816556e+000
185	3.704894e+000
186	4.556254e+001
187	4.582575e+000
188	6.570301e+001
189	6.549615e+000
190	3.841103e+000
191	8.270918e+000
192	4.574082e+000
193	3.864689e+000
194	5.860448e+000
195	5.970788e+000
196	5.997176e+000
197	1.167296e+001
198	1.765664e+001
199	9.863544e+000
200	4.586733e+002
201	8.894836e+000
202	2.304570e+001
203	7.432844e+002
204	3.260426e+000
205	1.330640e+000
206	4.755078e+000
207	9.703199e+000
208	2.278106e+001
209	6.907366e+000
210	3.744415e+003
211	-1.300328e+000
212	1.061490e+002
213	1.041382e+000
214	-7.544803e-001
215	5.695736e+000
216	-1.807361e+000
217	7.864976e+002
218	-1.479431e+000
219	7.456757e+001
220	8.315753e+000
221	4.711340e+002
222	4.313976e+000
223	-4.576071e+000
224	7.280249e+001
225	1.082501e+000
226	7.108465e-001
227	4.425403e+003
228	9.167194e+000
229	3.237263e-001
230	-2.986379e+000
231	-3.556046e+000
232	-1.413774e+000
233	2.051710e+001
234	-5.169189e+000
235	-2.149712e+000
236	-3.638280e+000
237	-3.847554e+000
238	1.740498e+000
239	-1.016690e+000
240	-3.826851e+000
241	7.760082e+000
242	1.784308e+001
243	6.616893e+000
244	-5.379181e+000
245	-2.450416e+000
246	-7.312121e+000
247	3.652262e+000
248	2.828722e+000
249	7.566297e+002
250	-2.780725e+000
251	2.641547e+000
252	-9.482876e-001
253	-3.358434e+000
254	4.973037e+001
255	6.779877e+001
256	4.581987e+000
257	5.788383e+000
258	1.662216e+002
259	1.646696e+000
260	1.101023e+001
261	7.757777e+004
262	3.846111e+002
263	5.765931e-001
264	3.619930e+000
265	3.456364e+002
266	7.304892e+000
267	2.695165e+000
268	-3.405989e+000
269	6.786509e+000
270	2.510291e+001
271	1.555166e+000
272	1.360048e+001
273	8.842652e+000
274	9.784399e-001
275	1.664912e+001
276	5.752070e+000
277	7.942292e+000
278	1.174463e+001
279	1.130076e+001
280	9.238141e+002
281	-1.020042e+000
282	-1.089837e+000
283	5.301384e+000
284	1.995386e+000
285	-1.797470e-001
286	1.948913e+003
287	4.713510e+000
288	1.835423e+002
289	1.273755e+000
290	3.820726e+001
291	-1.261554e+000
292	4.594037e+000
293	6.895757e-001
294	-1.200639e+000
295	6.873841e+000
296	6.719962e-001
297	2.280233e+002
298	9.420677e+001
299	-1.201919e+000
300	-2.250551e+000
301	3.504542e+000
302	-2.111172e+000
303	6.376924e+000
304	-5.746531e+000
305	-5.427884e+000
306	1.625931e+002
307	2.590424e+001
308	8.583041e+000
309	-3.447244e-001
310	6.498112e+000
311	1.025853e+000
312	1.443467e+000
313	-2.714757e+000
314	1.793714e+001
315	-3.306401e+000
316	2.180609e+003
317	1.438675e+001
318	-2.732487e+000
319	1.703276e+002
320	-1.777939e+000
321	4.771911e+001
322	-3.003351e+000
323	4.417017e+000
324	-1.028328e+000
325	1.537857e+000
326	2.668397e+003
327	-1.226158e+001
328	1.876888e+000
329	3.680187e+002
330	1.680697e+001
