Reporter Identifier	VALUE
1	2.775765e+003
2	3.099224e+000
3	3.272773e+003
4	-7.111657e+000
5	-3.936571e+000
6	-6.599628e+000
7	1.366551e+000
8	4.669572e+000
9	-1.207533e+001
10	-1.101165e+000
11	-6.988533e+000
12	-6.442952e+000
13	1.522675e+000
14	-1.294060e+001
15	-8.735279e+000
16	9.830172e+000
17	-1.351848e+001
18	1.475510e+000
19	3.306201e+001
20	-5.513269e+000
21	-3.520615e-001
22	-9.494404e+000
23	-7.371836e+000
24	-5.816774e+000
25	4.433067e+001
26	4.156248e+000
27	-5.183153e+000
28	-4.857438e+000
29	-9.679365e+000
30	-6.593552e+000
31	5.715580e+002
32	1.319373e+003
33	3.255052e+002
34	1.734047e+003
35	-6.408270e+000
36	7.953953e+000
37	3.710782e+001
38	7.555876e+001
39	-8.834043e+000
40	-7.226447e+000
41	6.987240e+000
42	-5.750643e+000
43	4.883840e+001
44	1.213855e+002
45	3.207616e+002
46	-9.969131e+000
47	-9.704765e+000
48	-1.365372e+001
49	-5.843611e+000
50	-1.272581e+001
51	-9.650175e+000
52	-8.515064e+000
53	-5.264734e+000
54	-3.417868e+000
55	-4.535471e+000
56	1.398366e+003
57	-2.344456e+000
58	2.869484e+003
59	-8.512603e+000
60	-1.024493e+001
61	2.638501e+003
62	8.840441e+000
63	2.140799e+002
64	-6.924710e+000
65	2.735966e+000
66	6.791109e+000
67	1.548864e+003
68	-7.905444e+000
69	-5.695798e+000
70	1.116055e+003
71	1.171680e+002
72	-2.052730e+000
73	4.445615e+001
74	2.148631e+002
75	2.859105e+002
76	3.028369e+003
77	-3.726651e+000
78	5.057230e+003
79	1.316271e+001
80	5.224279e+000
81	1.893754e+003
82	2.378179e+003
83	1.657847e+003
84	1.097551e+000
85	-5.676334e+000
86	-5.108578e+000
87	-1.305752e+001
88	5.884238e+000
89	-1.032575e+001
90	-6.548481e+000
91	-1.117496e+001
92	4.538587e+000
93	3.045695e+001
94	-1.282850e+000
95	-5.334149e+000
96	-9.272247e+000
97	1.564381e+002
98	-7.874052e+000
99	2.953393e+000
100	1.479819e+001
101	3.923448e+001
102	3.413436e+000
103	-1.205889e+001
104	4.098638e+001
105	2.598116e+003
106	-1.199647e+001
107	-9.327078e-001
108	-9.978836e+000
109	6.917202e+001
110	9.985076e+001
111	6.497585e+001
112	1.448539e+001
113	7.986800e+001
114	6.564416e+000
115	-5.321250e+000
116	-8.307045e+000
117	4.428205e+001
118	-1.012187e+001
119	6.168695e+003
120	7.469245e+002
121	-5.931041e+000
122	-1.873426e+000
123	-4.857536e-001
124	5.418682e+002
125	-1.320680e+001
126	-1.255504e+001
127	-8.861436e+000
128	3.921782e+002
129	5.617919e+001
130	4.332489e+000
131	-2.246244e+000
132	5.106988e+001
133	-1.222767e+001
134	-5.201186e+000
135	1.792617e+000
136	9.590681e+001
137	-7.936844e+000
138	-7.829663e+000
139	7.815677e+001
140	-1.134384e+001
141	-1.121199e+001
142	-9.102603e+000
143	-7.101134e+000
144	1.239016e+001
145	-7.646593e+000
146	4.146201e+000
147	3.599891e+000
148	7.769105e+003
